target,target_end_date,location,age_group,type,quantile,value,pathogen
-28 day ahead inc hosp,2021-10-06,DE,00-04,quantile,0.025,68,COVID-19
-28 day ahead inc hosp,2021-10-06,DE,00-04,quantile,0.1,68,COVID-19
-28 day ahead inc hosp,2021-10-06,DE,00-04,quantile,0.25,69,COVID-19
-28 day ahead inc hosp,2021-10-06,DE,00-04,quantile,0.5,69,COVID-19
-28 day ahead inc hosp,2021-10-06,DE,00-04,quantile,0.75,69,COVID-19
-28 day ahead inc hosp,2021-10-06,DE,00-04,quantile,0.9,70,COVID-19
-28 day ahead inc hosp,2021-10-06,DE,00-04,quantile,0.975,70,COVID-19
-28 day ahead inc hosp,2021-10-06,DE,00+,quantile,0.025,2405,COVID-19
-28 day ahead inc hosp,2021-10-06,DE,00+,quantile,0.1,2427,COVID-19
-28 day ahead inc hosp,2021-10-06,DE,00+,quantile,0.25,2453,COVID-19
-28 day ahead inc hosp,2021-10-06,DE,00+,quantile,0.5,2488,COVID-19
-28 day ahead inc hosp,2021-10-06,DE,00+,quantile,0.75,2535,COVID-19
-28 day ahead inc hosp,2021-10-06,DE,00+,quantile,0.9,2588,COVID-19
-28 day ahead inc hosp,2021-10-06,DE,00+,quantile,0.975,2663,COVID-19
-28 day ahead inc hosp,2021-10-06,DE,05-14,quantile,0.025,44,COVID-19
-28 day ahead inc hosp,2021-10-06,DE,05-14,quantile,0.1,44,COVID-19
-28 day ahead inc hosp,2021-10-06,DE,05-14,quantile,0.25,44,COVID-19
-28 day ahead inc hosp,2021-10-06,DE,05-14,quantile,0.5,45,COVID-19
-28 day ahead inc hosp,2021-10-06,DE,05-14,quantile,0.75,46,COVID-19
-28 day ahead inc hosp,2021-10-06,DE,05-14,quantile,0.9,46,COVID-19
-28 day ahead inc hosp,2021-10-06,DE,05-14,quantile,0.975,47,COVID-19
-28 day ahead inc hosp,2021-10-06,DE,15-34,quantile,0.025,317,COVID-19
-28 day ahead inc hosp,2021-10-06,DE,15-34,quantile,0.1,321,COVID-19
