target,target_end_date,location,age_group,type,quantile,value,pathogen
-28 day ahead inc hosp,2021-10-25,DE,00-04,quantile,0.025,82,COVID-19
-28 day ahead inc hosp,2021-10-25,DE,00-04,quantile,0.1,82,COVID-19
-28 day ahead inc hosp,2021-10-25,DE,00-04,quantile,0.25,82,COVID-19
-28 day ahead inc hosp,2021-10-25,DE,00-04,quantile,0.5,82,COVID-19
-28 day ahead inc hosp,2021-10-25,DE,00-04,quantile,0.75,83,COVID-19
-28 day ahead inc hosp,2021-10-25,DE,00-04,quantile,0.9,84,COVID-19
-28 day ahead inc hosp,2021-10-25,DE,00-04,quantile,0.975,85,COVID-19
-28 day ahead inc hosp,2021-10-25,DE,00+,quantile,0.025,4614,COVID-19
-28 day ahead inc hosp,2021-10-25,DE,00+,quantile,0.1,4628,COVID-19
-28 day ahead inc hosp,2021-10-25,DE,00+,quantile,0.25,4644,COVID-19
-28 day ahead inc hosp,2021-10-25,DE,00+,quantile,0.5,4666,COVID-19
-28 day ahead inc hosp,2021-10-25,DE,00+,quantile,0.75,4695,COVID-19
-28 day ahead inc hosp,2021-10-25,DE,00+,quantile,0.9,4728,COVID-19
-28 day ahead inc hosp,2021-10-25,DE,00+,quantile,0.975,4774,COVID-19
-28 day ahead inc hosp,2021-10-25,DE,05-14,quantile,0.025,55,COVID-19
-28 day ahead inc hosp,2021-10-25,DE,05-14,quantile,0.1,55,COVID-19
-28 day ahead inc hosp,2021-10-25,DE,05-14,quantile,0.25,55,COVID-19
-28 day ahead inc hosp,2021-10-25,DE,05-14,quantile,0.5,57,COVID-19
-28 day ahead inc hosp,2021-10-25,DE,05-14,quantile,0.75,58,COVID-19
-28 day ahead inc hosp,2021-10-25,DE,05-14,quantile,0.9,60,COVID-19
-28 day ahead inc hosp,2021-10-25,DE,05-14,quantile,0.975,61,COVID-19
-28 day ahead inc hosp,2021-10-25,DE,15-34,quantile,0.025,502,COVID-19
-28 day ahead inc hosp,2021-10-25,DE,15-34,quantile,0.1,503,COVID-19
-28 day ahead inc hosp,2021-10-25,DE,15-34,quantile,0.25,507,COVID-19
-28 day ahead inc hosp,2021-10-25,DE,15-34,quantile,0.5,515,COVID-19
-28 day ahead inc hosp,2021-10-25,DE,15-34,quantile,0.75,529,COVID-19
-28 day ahead inc hosp,2021-10-25,DE,15-34,quantile,0.9,550,COVID-19
-28 day ahead inc hosp,2021-10-25,DE,15-34,quantile,0.975,590,COVID-19
-28 day ahead inc hosp,2021-10-25,DE,35-59,quantile,0.025,1164,COVID-19
-28 day ahead inc hosp,2021-10-25,DE,35-59,quantile,0.1,1168,COVID-19
-28 day ahead inc hosp,2021-10-25,DE,35-59,quantile,0.25,1173,COVID-19
-28 day ahead inc hosp,2021-10-25,DE,35-59,quantile,0.5,1181,COVID-19
-28 day ahead inc hosp,2021-10-25,DE,35-59,quantile,0.75,1193,COVID-19
-28 day ahead inc hosp,2021-10-25,DE,35-59,quantile,0.9,1208,COVID-19
-28 day ahead inc hosp,2021-10-25,DE,35-59,quantile,0.975,1231,COVID-19
-28 day ahead inc hosp,2021-10-25,DE,60-79,quantile,0.025,1466,COVID-19
-28 day ahead inc hosp,2021-10-25,DE,60-79,quantile,0.1,1471,COVID-19
-28 day ahead inc hosp,2021-10-25,DE,60-79,quantile,0.25,1477,COVID-19
-28 day ahead inc hosp,2021-10-25,DE,60-79,quantile,0.5,1489,COVID-19
-28 day ahead inc hosp,2021-10-25,DE,60-79,quantile,0.75,1507,COVID-19
-28 day ahead inc hosp,2021-10-25,DE,60-79,quantile,0.9,1533,COVID-19
-28 day ahead inc hosp,2021-10-25,DE,60-79,quantile,0.975,1578,COVID-19
-28 day ahead inc hosp,2021-10-25,DE,80+,quantile,0.025,1323,COVID-19
-28 day ahead inc hosp,2021-10-25,DE,80+,quantile,0.1,1325,COVID-19
-28 day ahead inc hosp,2021-10-25,DE,80+,quantile,0.25,1330,COVID-19
-28 day ahead inc hosp,2021-10-25,DE,80+,quantile,0.5,1343,COVID-19
-28 day ahead inc hosp,2021-10-25,DE,80+,quantile,0.75,1375,COVID-19
-28 day ahead inc hosp,2021-10-25,DE,80+,quantile,0.9,1440,COVID-19
-28 day ahead inc hosp,2021-10-25,DE,80+,quantile,0.975,1612,COVID-19
-27 day ahead inc hosp,2021-10-26,DE,00-04,quantile,0.025,90,COVID-19
-27 day ahead inc hosp,2021-10-26,DE,00-04,quantile,0.1,90,COVID-19
-27 day ahead inc hosp,2021-10-26,DE,00-04,quantile,0.25,90,COVID-19
-27 day ahead inc hosp,2021-10-26,DE,00-04,quantile,0.5,90,COVID-19
-27 day ahead inc hosp,2021-10-26,DE,00-04,quantile,0.75,92,COVID-19
-27 day ahead inc hosp,2021-10-26,DE,00-04,quantile,0.9,93,COVID-19
-27 day ahead inc hosp,2021-10-26,DE,00-04,quantile,0.975,95,COVID-19
-27 day ahead inc hosp,2021-10-26,DE,00+,quantile,0.025,4733,COVID-19
-27 day ahead inc hosp,2021-10-26,DE,00+,quantile,0.1,4750,COVID-19
-27 day ahead inc hosp,2021-10-26,DE,00+,quantile,0.25,4769,COVID-19
-27 day ahead inc hosp,2021-10-26,DE,00+,quantile,0.5,4796,COVID-19
-27 day ahead inc hosp,2021-10-26,DE,00+,quantile,0.75,4830,COVID-19
-27 day ahead inc hosp,2021-10-26,DE,00+,quantile,0.9,4869,COVID-19
-27 day ahead inc hosp,2021-10-26,DE,00+,quantile,0.975,4923,COVID-19
-27 day ahead inc hosp,2021-10-26,DE,05-14,quantile,0.025,52,COVID-19
-27 day ahead inc hosp,2021-10-26,DE,05-14,quantile,0.1,52,COVID-19
-27 day ahead inc hosp,2021-10-26,DE,05-14,quantile,0.25,52,COVID-19
-27 day ahead inc hosp,2021-10-26,DE,05-14,quantile,0.5,54,COVID-19
-27 day ahead inc hosp,2021-10-26,DE,05-14,quantile,0.75,56,COVID-19
-27 day ahead inc hosp,2021-10-26,DE,05-14,quantile,0.9,57,COVID-19
-27 day ahead inc hosp,2021-10-26,DE,05-14,quantile,0.975,59,COVID-19
-27 day ahead inc hosp,2021-10-26,DE,15-34,quantile,0.025,507,COVID-19
-27 day ahead inc hosp,2021-10-26,DE,15-34,quantile,0.1,510,COVID-19
-27 day ahead inc hosp,2021-10-26,DE,15-34,quantile,0.25,515,COVID-19
-27 day ahead inc hosp,2021-10-26,DE,15-34,quantile,0.5,523,COVID-19
-27 day ahead inc hosp,2021-10-26,DE,15-34,quantile,0.75,539,COVID-19
-27 day ahead inc hosp,2021-10-26,DE,15-34,quantile,0.9,562,COVID-19
-27 day ahead inc hosp,2021-10-26,DE,15-34,quantile,0.975,605,COVID-19
-27 day ahead inc hosp,2021-10-26,DE,35-59,quantile,0.025,1206,COVID-19
-27 day ahead inc hosp,2021-10-26,DE,35-59,quantile,0.1,1211,COVID-19
-27 day ahead inc hosp,2021-10-26,DE,35-59,quantile,0.25,1217,COVID-19
-27 day ahead inc hosp,2021-10-26,DE,35-59,quantile,0.5,1227,COVID-19
-27 day ahead inc hosp,2021-10-26,DE,35-59,quantile,0.75,1240,COVID-19
-27 day ahead inc hosp,2021-10-26,DE,35-59,quantile,0.9,1257,COVID-19
-27 day ahead inc hosp,2021-10-26,DE,35-59,quantile,0.975,1284,COVID-19
-27 day ahead inc hosp,2021-10-26,DE,60-79,quantile,0.025,1482,COVID-19
-27 day ahead inc hosp,2021-10-26,DE,60-79,quantile,0.1,1488,COVID-19
-27 day ahead inc hosp,2021-10-26,DE,60-79,quantile,0.25,1497,COVID-19
-27 day ahead inc hosp,2021-10-26,DE,60-79,quantile,0.5,1511,COVID-19
-27 day ahead inc hosp,2021-10-26,DE,60-79,quantile,0.75,1534,COVID-19
-27 day ahead inc hosp,2021-10-26,DE,60-79,quantile,0.9,1564,COVID-19
-27 day ahead inc hosp,2021-10-26,DE,60-79,quantile,0.975,1616,COVID-19
-27 day ahead inc hosp,2021-10-26,DE,80+,quantile,0.025,1368,COVID-19
-27 day ahead inc hosp,2021-10-26,DE,80+,quantile,0.1,1370,COVID-19
-27 day ahead inc hosp,2021-10-26,DE,80+,quantile,0.25,1376,COVID-19
-27 day ahead inc hosp,2021-10-26,DE,80+,quantile,0.5,1391,COVID-19
-27 day ahead inc hosp,2021-10-26,DE,80+,quantile,0.75,1425,COVID-19
-27 day ahead inc hosp,2021-10-26,DE,80+,quantile,0.9,1495,COVID-19
-27 day ahead inc hosp,2021-10-26,DE,80+,quantile,0.975,1672,COVID-19
-26 day ahead inc hosp,2021-10-27,DE,00-04,quantile,0.025,90,COVID-19
-26 day ahead inc hosp,2021-10-27,DE,00-04,quantile,0.1,90,COVID-19
-26 day ahead inc hosp,2021-10-27,DE,00-04,quantile,0.25,90,COVID-19
-26 day ahead inc hosp,2021-10-27,DE,00-04,quantile,0.5,90,COVID-19
-26 day ahead inc hosp,2021-10-27,DE,00-04,quantile,0.75,92,COVID-19
-26 day ahead inc hosp,2021-10-27,DE,00-04,quantile,0.9,93,COVID-19
-26 day ahead inc hosp,2021-10-27,DE,00-04,quantile,0.975,95,COVID-19
-26 day ahead inc hosp,2021-10-27,DE,00+,quantile,0.025,4840,COVID-19
-26 day ahead inc hosp,2021-10-27,DE,00+,quantile,0.1,4859,COVID-19
-26 day ahead inc hosp,2021-10-27,DE,00+,quantile,0.25,4880,COVID-19
-26 day ahead inc hosp,2021-10-27,DE,00+,quantile,0.5,4910,COVID-19
-26 day ahead inc hosp,2021-10-27,DE,00+,quantile,0.75,4947,COVID-19
-26 day ahead inc hosp,2021-10-27,DE,00+,quantile,0.9,4990,COVID-19
-26 day ahead inc hosp,2021-10-27,DE,00+,quantile,0.975,5050,COVID-19
-26 day ahead inc hosp,2021-10-27,DE,05-14,quantile,0.025,53,COVID-19
-26 day ahead inc hosp,2021-10-27,DE,05-14,quantile,0.1,53,COVID-19
-26 day ahead inc hosp,2021-10-27,DE,05-14,quantile,0.25,53,COVID-19
-26 day ahead inc hosp,2021-10-27,DE,05-14,quantile,0.5,54,COVID-19
-26 day ahead inc hosp,2021-10-27,DE,05-14,quantile,0.75,56,COVID-19
-26 day ahead inc hosp,2021-10-27,DE,05-14,quantile,0.9,57,COVID-19
-26 day ahead inc hosp,2021-10-27,DE,05-14,quantile,0.975,59,COVID-19
-26 day ahead inc hosp,2021-10-27,DE,15-34,quantile,0.025,505,COVID-19
-26 day ahead inc hosp,2021-10-27,DE,15-34,quantile,0.1,508,COVID-19
-26 day ahead inc hosp,2021-10-27,DE,15-34,quantile,0.25,512,COVID-19
-26 day ahead inc hosp,2021-10-27,DE,15-34,quantile,0.5,521,COVID-19
-26 day ahead inc hosp,2021-10-27,DE,15-34,quantile,0.75,535,COVID-19
-26 day ahead inc hosp,2021-10-27,DE,15-34,quantile,0.9,556,COVID-19
-26 day ahead inc hosp,2021-10-27,DE,15-34,quantile,0.975,594,COVID-19
-26 day ahead inc hosp,2021-10-27,DE,35-59,quantile,0.025,1267,COVID-19
-26 day ahead inc hosp,2021-10-27,DE,35-59,quantile,0.1,1273,COVID-19
-26 day ahead inc hosp,2021-10-27,DE,35-59,quantile,0.25,1280,COVID-19
-26 day ahead inc hosp,2021-10-27,DE,35-59,quantile,0.5,1291,COVID-19
-26 day ahead inc hosp,2021-10-27,DE,35-59,quantile,0.75,1307,COVID-19
-26 day ahead inc hosp,2021-10-27,DE,35-59,quantile,0.9,1326,COVID-19
-26 day ahead inc hosp,2021-10-27,DE,35-59,quantile,0.975,1357,COVID-19
-26 day ahead inc hosp,2021-10-27,DE,60-79,quantile,0.025,1499,COVID-19
-26 day ahead inc hosp,2021-10-27,DE,60-79,quantile,0.1,1505,COVID-19
-26 day ahead inc hosp,2021-10-27,DE,60-79,quantile,0.25,1514,COVID-19
-26 day ahead inc hosp,2021-10-27,DE,60-79,quantile,0.5,1528,COVID-19
-26 day ahead inc hosp,2021-10-27,DE,60-79,quantile,0.75,1550,COVID-19
-26 day ahead inc hosp,2021-10-27,DE,60-79,quantile,0.9,1578,COVID-19
-26 day ahead inc hosp,2021-10-27,DE,60-79,quantile,0.975,1626,COVID-19
