target,target_end_date,location,age_group,type,quantile,value,pathogen
-28 day ahead inc hosp,2021-08-16,DE,00-04,quantile,0.025,56,COVID-19
-28 day ahead inc hosp,2021-08-16,DE,00-04,quantile,0.1,57,COVID-19
-28 day ahead inc hosp,2021-08-16,DE,00-04,quantile,0.25,58,COVID-19
-28 day ahead inc hosp,2021-08-16,DE,00-04,quantile,0.5,59,COVID-19
-28 day ahead inc hosp,2021-08-16,DE,00-04,quantile,0.75,60,COVID-19
-28 day ahead inc hosp,2021-08-16,DE,00-04,quantile,0.9,60,COVID-19
-28 day ahead inc hosp,2021-08-16,DE,00-04,quantile,0.975,61,COVID-19
-28 day ahead inc hosp,2021-08-16,DE,00+,quantile,0.025,1534,COVID-19
-28 day ahead inc hosp,2021-08-16,DE,00+,quantile,0.1,1541,COVID-19
-28 day ahead inc hosp,2021-08-16,DE,00+,quantile,0.25,1548,COVID-19
-28 day ahead inc hosp,2021-08-16,DE,00+,quantile,0.5,1559,COVID-19
-28 day ahead inc hosp,2021-08-16,DE,00+,quantile,0.75,1572,COVID-19
-28 day ahead inc hosp,2021-08-16,DE,00+,quantile,0.9,1587,COVID-19
-28 day ahead inc hosp,2021-08-16,DE,00+,quantile,0.975,1606,COVID-19
-28 day ahead inc hosp,2021-08-16,DE,05-14,quantile,0.025,35,COVID-19
-28 day ahead inc hosp,2021-08-16,DE,05-14,quantile,0.1,35,COVID-19
-28 day ahead inc hosp,2021-08-16,DE,05-14,quantile,0.25,35,COVID-19
-28 day ahead inc hosp,2021-08-16,DE,05-14,quantile,0.5,35,COVID-19
-28 day ahead inc hosp,2021-08-16,DE,05-14,quantile,0.75,36,COVID-19
-28 day ahead inc hosp,2021-08-16,DE,05-14,quantile,0.9,37,COVID-19
-28 day ahead inc hosp,2021-08-16,DE,05-14,quantile,0.975,39,COVID-19
-28 day ahead inc hosp,2021-08-16,DE,15-34,quantile,0.025,348,COVID-19
-28 day ahead inc hosp,2021-08-16,DE,15-34,quantile,0.1,348,COVID-19
-28 day ahead inc hosp,2021-08-16,DE,15-34,quantile,0.25,348,COVID-19
-28 day ahead inc hosp,2021-08-16,DE,15-34,quantile,0.5,349,COVID-19
-28 day ahead inc hosp,2021-08-16,DE,15-34,quantile,0.75,350,COVID-19
-28 day ahead inc hosp,2021-08-16,DE,15-34,quantile,0.9,351,COVID-19
-28 day ahead inc hosp,2021-08-16,DE,15-34,quantile,0.975,353,COVID-19
-28 day ahead inc hosp,2021-08-16,DE,35-59,quantile,0.025,611,COVID-19
-28 day ahead inc hosp,2021-08-16,DE,35-59,quantile,0.1,616,COVID-19
-28 day ahead inc hosp,2021-08-16,DE,35-59,quantile,0.25,621,COVID-19
-28 day ahead inc hosp,2021-08-16,DE,35-59,quantile,0.5,629,COVID-19
-28 day ahead inc hosp,2021-08-16,DE,35-59,quantile,0.75,640,COVID-19
-28 day ahead inc hosp,2021-08-16,DE,35-59,quantile,0.9,653,COVID-19
-28 day ahead inc hosp,2021-08-16,DE,35-59,quantile,0.975,673,COVID-19
-28 day ahead inc hosp,2021-08-16,DE,60-79,quantile,0.025,319,COVID-19
-28 day ahead inc hosp,2021-08-16,DE,60-79,quantile,0.1,320,COVID-19
-28 day ahead inc hosp,2021-08-16,DE,60-79,quantile,0.25,322,COVID-19
-28 day ahead inc hosp,2021-08-16,DE,60-79,quantile,0.5,323,COVID-19
-28 day ahead inc hosp,2021-08-16,DE,60-79,quantile,0.75,325,COVID-19
-28 day ahead inc hosp,2021-08-16,DE,60-79,quantile,0.9,327,COVID-19
-28 day ahead inc hosp,2021-08-16,DE,60-79,quantile,0.975,330,COVID-19
