target,target_end_date,location,age_group,type,quantile,value,pathogen
-28 day ahead inc hosp,2021-07-11,DE,00-04,quantile,0.025,5,COVID-19
-28 day ahead inc hosp,2021-07-11,DE,00-04,quantile,0.1,5,COVID-19
-28 day ahead inc hosp,2021-07-11,DE,00-04,quantile,0.25,5,COVID-19
-28 day ahead inc hosp,2021-07-11,DE,00-04,quantile,0.5,5,COVID-19
-28 day ahead inc hosp,2021-07-11,DE,00-04,quantile,0.75,6,COVID-19
-28 day ahead inc hosp,2021-07-11,DE,00-04,quantile,0.9,8,COVID-19
-28 day ahead inc hosp,2021-07-11,DE,00-04,quantile,0.975,9,COVID-19
-28 day ahead inc hosp,2021-07-11,DE,00+,quantile,0.025,351,COVID-19
-28 day ahead inc hosp,2021-07-11,DE,00+,quantile,0.1,353,COVID-19
-28 day ahead inc hosp,2021-07-11,DE,00+,quantile,0.25,354,COVID-19
-28 day ahead inc hosp,2021-07-11,DE,00+,quantile,0.5,357,COVID-19
-28 day ahead inc hosp,2021-07-11,DE,00+,quantile,0.75,360,COVID-19
-28 day ahead inc hosp,2021-07-11,DE,00+,quantile,0.9,363,COVID-19
-28 day ahead inc hosp,2021-07-11,DE,00+,quantile,0.975,368,COVID-19
-28 day ahead inc hosp,2021-07-11,DE,05-14,quantile,0.025,6,COVID-19
-28 day ahead inc hosp,2021-07-11,DE,05-14,quantile,0.1,6,COVID-19
-28 day ahead inc hosp,2021-07-11,DE,05-14,quantile,0.25,6,COVID-19
-28 day ahead inc hosp,2021-07-11,DE,05-14,quantile,0.5,7,COVID-19
-28 day ahead inc hosp,2021-07-11,DE,05-14,quantile,0.75,10,COVID-19
-28 day ahead inc hosp,2021-07-11,DE,05-14,quantile,0.9,14,COVID-19
-28 day ahead inc hosp,2021-07-11,DE,05-14,quantile,0.975,18,COVID-19
-28 day ahead inc hosp,2021-07-11,DE,15-34,quantile,0.025,75,COVID-19
-28 day ahead inc hosp,2021-07-11,DE,15-34,quantile,0.1,75,COVID-19
-28 day ahead inc hosp,2021-07-11,DE,15-34,quantile,0.25,76,COVID-19
-28 day ahead inc hosp,2021-07-11,DE,15-34,quantile,0.5,76,COVID-19
-28 day ahead inc hosp,2021-07-11,DE,15-34,quantile,0.75,77,COVID-19
-28 day ahead inc hosp,2021-07-11,DE,15-34,quantile,0.9,78,COVID-19
-28 day ahead inc hosp,2021-07-11,DE,15-34,quantile,0.975,80,COVID-19
-28 day ahead inc hosp,2021-07-11,DE,35-59,quantile,0.025,126,COVID-19
-28 day ahead inc hosp,2021-07-11,DE,35-59,quantile,0.1,127,COVID-19
-28 day ahead inc hosp,2021-07-11,DE,35-59,quantile,0.25,127,COVID-19
-28 day ahead inc hosp,2021-07-11,DE,35-59,quantile,0.5,128,COVID-19
-28 day ahead inc hosp,2021-07-11,DE,35-59,quantile,0.75,130,COVID-19
-28 day ahead inc hosp,2021-07-11,DE,35-59,quantile,0.9,132,COVID-19
-28 day ahead inc hosp,2021-07-11,DE,35-59,quantile,0.975,135,COVID-19
-28 day ahead inc hosp,2021-07-11,DE,60-79,quantile,0.025,90,COVID-19
-28 day ahead inc hosp,2021-07-11,DE,60-79,quantile,0.1,90,COVID-19
-28 day ahead inc hosp,2021-07-11,DE,60-79,quantile,0.25,90,COVID-19
-28 day ahead inc hosp,2021-07-11,DE,60-79,quantile,0.5,91,COVID-19
-28 day ahead inc hosp,2021-07-11,DE,60-79,quantile,0.75,92,COVID-19
-28 day ahead inc hosp,2021-07-11,DE,60-79,quantile,0.9,92,COVID-19
-28 day ahead inc hosp,2021-07-11,DE,60-79,quantile,0.975,94,COVID-19
-28 day ahead inc hosp,2021-07-11,DE,80+,quantile,0.025,50,COVID-19
-28 day ahead inc hosp,2021-07-11,DE,80+,quantile,0.1,50,COVID-19
-28 day ahead inc hosp,2021-07-11,DE,80+,quantile,0.25,50,COVID-19
-28 day ahead inc hosp,2021-07-11,DE,80+,quantile,0.5,50,COVID-19
-28 day ahead inc hosp,2021-07-11,DE,80+,quantile,0.75,50,COVID-19
-28 day ahead inc hosp,2021-07-11,DE,80+,quantile,0.9,50,COVID-19
-28 day ahead inc hosp,2021-07-11,DE,80+,quantile,0.975,50,COVID-19
