model,target_type,target_end_date,location,age_group,pathogen,mean,q0.025,q0.1,q0.25,q0.5,q0.75,q0.9,q0.975
testteam-testmodel,hosp,2021-08-31,DE,00+,COVID-19,3196,1948,2318,2688,3143,3646,4142,4746
testteam-testmodel,hosp,2021-08-31,DE,00-04,COVID-19,89,51,62,74,88,103,118,137
testteam-testmodel,hosp,2021-08-31,DE,05-14,COVID-19,80,45,55,66,78,92,106,123
testteam-testmodel,hosp,2021-08-31,DE,15-34,COVID-19,637,385,460,535,626,728,828,950
testteam-testmodel,hosp,2021-08-31,DE,35-59,COVID-19,1315,799,952,1105,1293,1501,1706,1956
testteam-testmodel,hosp,2021-08-31,DE,60-79,COVID-19,668,404,482,560,656,763,868,995
testteam-testmodel,hosp,2021-08-31,DE,80+,COVID-19,407,245,293,341,400,465,530,608
testteam-testmodel,hosp,2021-09-01,DE,00+,COVID-19,3220,1963,2335,2708,3166,3673,4173,4781
testteam-testmodel,hosp,2021-09-01,DE,00-04,COVID-19,84,48,59,69,83,97,112,129
testteam-testmodel,hosp,2021-09-01,DE,05-14,COVID-19,76,43,52,62,74,87,101,117
testteam-testmodel,hosp,2021-09-01,DE,15-34,COVID-19,620,375,448,520,609,708,806,925
testteam-testmodel,hosp,2021-09-01,DE,35-59,COVID-19,1326,806,960,1114,1304,1514,1721,1972
testteam-testmodel,hosp,2021-09-01,DE,60-79,COVID-19,676,409,488,567,665,772,878,1008
testteam-testmodel,hosp,2021-09-01,DE,80+,COVID-19,438,264,316,367,431,501,570,655
testteam-testmodel,hosp,2021-09-02,DE,00+,COVID-19,3201,1951,2322,2692,3148,3652,4149,4754
testteam-testmodel,hosp,2021-09-02,DE,00-04,COVID-19,78,44,54,64,76,90,104,120
testteam-testmodel,hosp,2021-09-02,DE,05-14,COVID-19,69,39,48,57,68,80,93,107
testteam-testmodel,hosp,2021-09-02,DE,15-34,COVID-19,617,373,445,518,607,705,802,920
testteam-testmodel,hosp,2021-09-02,DE,35-59,COVID-19,1314,799,952,1104,1292,1500,1705,1954
testteam-testmodel,hosp,2021-09-02,DE,60-79,COVID-19,673,407,486,565,661,769,874,1003
testteam-testmodel,hosp,2021-09-02,DE,80+,COVID-19,451,272,325,378,443,515,587,674
testteam-testmodel,hosp,2021-09-03,DE,00+,COVID-19,3211,1958,2330,2701,3158,3664,4162,4769
testteam-testmodel,hosp,2021-09-03,DE,00-04,COVID-19,76,43,52,62,74,88,101,117
testteam-testmodel,hosp,2021-09-03,DE,05-14,COVID-19,72,41,50,59,71,84,97,112
testteam-testmodel,hosp,2021-09-03,DE,15-34,COVID-19,635,384,459,533,624,726,826,947
testteam-testmodel,hosp,2021-09-03,DE,35-59,COVID-19,1300,790,941,1092,1278,1483,1686,1933
testteam-testmodel,hosp,2021-09-03,DE,60-79,COVID-19,691,418,499,580,679,789,897,1029
testteam-testmodel,hosp,2021-09-03,DE,80+,COVID-19,438,264,316,367,431,501,570,655
testteam-testmodel,hosp,2021-09-04,DE,00+,COVID-19,3231,1970,2344,2717,3177,3686,4187,4798
testteam-testmodel,hosp,2021-09-04,DE,00-04,COVID-19,72,40,49,59,70,83,96,111
testteam-testmodel,hosp,2021-09-04,DE,05-14,COVID-19,67,37,46,55,66,78,90,104
testteam-testmodel,hosp,2021-09-04,DE,15-34,COVID-19,621,375,448,521,610,710,807,926
testteam-testmodel,hosp,2021-09-04,DE,35-59,COVID-19,1294,787,937,1088,1273,1478,1679,1925
testteam-testmodel,hosp,2021-09-04,DE,60-79,COVID-19,718,435,518,602,706,820,932,1069
testteam-testmodel,hosp,2021-09-04,DE,80+,COVID-19,459,277,331,385,451,525,598,686
testteam-testmodel,hosp,2021-09-05,DE,00+,COVID-19,3221,1963,2336,2709,3167,3674,4174,4783
testteam-testmodel,hosp,2021-09-05,DE,00-04,COVID-19,76,43,52,62,74,88,101,117
testteam-testmodel,hosp,2021-09-05,DE,05-14,COVID-19,68,38,47,56,67,79,91,106
testteam-testmodel,hosp,2021-09-05,DE,15-34,COVID-19,605,366,436,507,595,691,786,902
testteam-testmodel,hosp,2021-09-05,DE,35-59,COVID-19,1283,780,929,1078,1262,1465,1665,1908
testteam-testmodel,hosp,2021-09-05,DE,60-79,COVID-19,719,435,519,603,707,821,934,1071
testteam-testmodel,hosp,2021-09-05,DE,80+,COVID-19,471,284,339,395,463,538,613,703
testteam-testmodel,hosp,2021-09-06,DE,00+,COVID-19,3211,1958,2330,2701,3158,3664,4162,4769
testteam-testmodel,hosp,2021-09-06,DE,00-04,COVID-19,79,45,55,65,77,91,105,122
testteam-testmodel,hosp,2021-09-06,DE,05-14,COVID-19,68,38,47,56,67,79,91,106
testteam-testmodel,hosp,2021-09-06,DE,15-34,COVID-19,606,366,437,508,596,692,787,903
testteam-testmodel,hosp,2021-09-06,DE,35-59,COVID-19,1270,772,920,1067,1249,1450,1648,1889
testteam-testmodel,hosp,2021-09-06,DE,60-79,COVID-19,719,435,519,603,707,821,934,1071
testteam-testmodel,hosp,2021-09-06,DE,80+,COVID-19,471,284,339,395,463,538,613,703
testteam-testmodel,hosp,2021-09-07,DE,00+,COVID-19,3228,1968,2341,2715,3174,3682,4183,4793
testteam-testmodel,hosp,2021-09-07,DE,00-04,COVID-19,91,52,64,75,90,106,121,140
testteam-testmodel,hosp,2021-09-07,DE,05-14,COVID-19,79,44,55,65,77,91,105,121
testteam-testmodel,hosp,2021-09-07,DE,15-34,COVID-19,601,363,434,504,591,686,781,896
testteam-testmodel,hosp,2021-09-07,DE,35-59,COVID-19,1262,767,914,1060,1241,1440,1637,1877
testteam-testmodel,hosp,2021-09-07,DE,60-79,COVID-19,715,433,516,600,702,816,928,1065
testteam-testmodel,hosp,2021-09-07,DE,80+,COVID-19,482,291,348,404,474,551,627,720
testteam-testmodel,hosp,2021-09-08,DE,00+,COVID-19,3229,1968,2342,2715,3175,3684,4185,4795
testteam-testmodel,hosp,2021-09-08,DE,00-04,COVID-19,92,53,65,76,91,107,123,142
testteam-testmodel,hosp,2021-09-08,DE,05-14,COVID-19,87,49,61,72,85,100,115,134
testteam-testmodel,hosp,2021-09-08,DE,15-34,COVID-19,603,364,435,506,593,689,784,899
testteam-testmodel,hosp,2021-09-08,DE,35-59,COVID-19,1213,737,879,1020,1193,1385,1575,1805
testteam-testmodel,hosp,2021-09-08,DE,60-79,COVID-19,750,454,542,630,737,857,974,1117
testteam-testmodel,hosp,2021-09-08,DE,80+,COVID-19,485,293,350,407,477,555,632,725
testteam-testmodel,hosp,2021-09-09,DE,00+,COVID-19,3242,1977,2352,2727,3188,3699,4202,4815
testteam-testmodel,hosp,2021-09-09,DE,00-04,COVID-19,98,56,68,81,96,113,129,149
testteam-testmodel,hosp,2021-09-09,DE,05-14,COVID-19,87,49,61,72,85,100,115,134
testteam-testmodel,hosp,2021-09-09,DE,15-34,COVID-19,583,353,421,489,574,667,759,870
testteam-testmodel,hosp,2021-09-09,DE,35-59,COVID-19,1209,735,876,1016,1189,1381,1569,1799
testteam-testmodel,hosp,2021-09-09,DE,60-79,COVID-19,779,472,563,654,766,890,1012,1161
testteam-testmodel,hosp,2021-09-09,DE,80+,COVID-19,489,295,352,410,480,558,636,730
testteam-testmodel,hosp,2021-09-10,DE,00+,COVID-19,3266,1991,2369,2747,3211,3726,4233,4850
testteam-testmodel,hosp,2021-09-10,DE,00-04,COVID-19,101,58,71,83,99,116,133,154
testteam-testmodel,hosp,2021-09-10,DE,05-14,COVID-19,82,46,57,67,80,95,109,126
testteam-testmodel,hosp,2021-09-10,DE,15-34,COVID-19,558,337,403,468,549,638,726,833
testteam-testmodel,hosp,2021-09-10,DE,35-59,COVID-19,1215,739,880,1021,1195,1388,1577,1808
testteam-testmodel,hosp,2021-09-10,DE,60-79,COVID-19,793,480,573,666,779,905,1030,1181
testteam-testmodel,hosp,2021-09-10,DE,80+,COVID-19,521,314,376,437,512,596,678,778
testteam-testmodel,hosp,2021-09-11,DE,00+,COVID-19,3261,1988,2365,2742,3206,3720,4226,4842
testteam-testmodel,hosp,2021-09-11,DE,00-04,COVID-19,101,58,71,83,99,116,133,154
testteam-testmodel,hosp,2021-09-11,DE,05-14,COVID-19,86,49,60,71,84,99,114,132
testteam-testmodel,hosp,2021-09-11,DE,15-34,COVID-19,544,328,392,456,535,622,707,812
testteam-testmodel,hosp,2021-09-11,DE,35-59,COVID-19,1214,738,879,1020,1194,1386,1576,1807
testteam-testmodel,hosp,2021-09-11,DE,60-79,COVID-19,787,477,568,660,773,898,1022,1172
testteam-testmodel,hosp,2021-09-11,DE,80+,COVID-19,535,323,386,448,526,611,695,798
testteam-testmodel,hosp,2021-09-12,DE,00+,COVID-19,3220,1963,2335,2708,3166,3673,4173,4781
testteam-testmodel,hosp,2021-09-12,DE,00-04,COVID-19,102,58,71,84,100,117,135,156
testteam-testmodel,hosp,2021-09-12,DE,05-14,COVID-19,83,47,58,68,81,96,110,127
testteam-testmodel,hosp,2021-09-12,DE,15-34,COVID-19,540,326,389,453,531,617,702,806
testteam-testmodel,hosp,2021-09-12,DE,35-59,COVID-19,1170,711,847,983,1151,1336,1519,1741
testteam-testmodel,hosp,2021-09-12,DE,60-79,COVID-19,781,473,565,656,768,892,1015,1164
testteam-testmodel,hosp,2021-09-12,DE,80+,COVID-19,549,332,396,461,540,628,714,820
testteam-testmodel,hosp,2021-09-13,DE,00+,COVID-19,3208,1956,2327,2698,3155,3660,4158,4764
testteam-testmodel,hosp,2021-09-13,DE,00-04,COVID-19,99,57,69,82,97,114,131,151
testteam-testmodel,hosp,2021-09-13,DE,05-14,COVID-19,83,47,58,68,81,96,110,127
testteam-testmodel,hosp,2021-09-13,DE,15-34,COVID-19,546,330,394,458,537,624,710,815
testteam-testmodel,hosp,2021-09-13,DE,35-59,COVID-19,1150,698,832,966,1131,1313,1492,1711
testteam-testmodel,hosp,2021-09-13,DE,60-79,COVID-19,785,476,568,659,772,897,1020,1170
