model,target_type,target_end_date,location,age_group,pathogen,mean,q0.025,q0.1,q0.25,q0.5,q0.75,q0.9,q0.975
testteam-testmodel,hosp,2021-09-08,DE,00+,COVID-19,3198,1950,2320,2690,3145,3648,4145,4749
testteam-testmodel,hosp,2021-09-08,DE,00-04,COVID-19,90,51,63,74,89,104,120,138
testteam-testmodel,hosp,2021-09-08,DE,05-14,COVID-19,91,52,63,75,89,105,121,139
testteam-testmodel,hosp,2021-09-08,DE,15-34,COVID-19,626,378,452,525,615,715,813,933
testteam-testmodel,hosp,2021-09-08,DE,35-59,COVID-19,1221,742,884,1026,1201,1394,1584,1816
testteam-testmodel,hosp,2021-09-08,DE,60-79,COVID-19,748,453,541,628,736,855,972,1115
testteam-testmodel,hosp,2021-09-08,DE,80+,COVID-19,482,291,348,404,474,551,627,720
testteam-testmodel,hosp,2021-09-09,DE,00+,COVID-19,3197,1949,2319,2689,3144,3647,4143,4748
testteam-testmodel,hosp,2021-09-09,DE,00-04,COVID-19,95,54,67,79,93,110,126,146
testteam-testmodel,hosp,2021-09-09,DE,05-14,COVID-19,90,51,63,74,88,104,119,138
testteam-testmodel,hosp,2021-09-09,DE,15-34,COVID-19,600,363,433,503,590,685,780,895
testteam-testmodel,hosp,2021-09-09,DE,35-59,COVID-19,1215,738,880,1021,1195,1387,1576,1807
testteam-testmodel,hosp,2021-09-09,DE,60-79,COVID-19,773,468,559,649,760,883,1004,1151
testteam-testmodel,hosp,2021-09-09,DE,80+,COVID-19,484,292,349,406,476,554,630,723
testteam-testmodel,hosp,2021-09-10,DE,00+,COVID-19,3211,1958,2329,2701,3158,3663,4162,4769
testteam-testmodel,hosp,2021-09-10,DE,00-04,COVID-19,98,56,69,81,96,113,130,150
testteam-testmodel,hosp,2021-09-10,DE,05-14,COVID-19,83,47,57,68,81,96,110,127
testteam-testmodel,hosp,2021-09-10,DE,15-34,COVID-19,574,347,414,481,564,656,746,856
testteam-testmodel,hosp,2021-09-10,DE,35-59,COVID-19,1217,739,881,1022,1197,1389,1579,1810
testteam-testmodel,hosp,2021-09-10,DE,60-79,COVID-19,784,475,567,658,771,896,1019,1168
testteam-testmodel,hosp,2021-09-10,DE,80+,COVID-19,515,311,371,432,506,589,670,769
testteam-testmodel,hosp,2021-09-11,DE,00+,COVID-19,3209,1956,2328,2699,3156,3661,4159,4766
testteam-testmodel,hosp,2021-09-11,DE,00-04,COVID-19,98,56,69,81,96,113,130,150
testteam-testmodel,hosp,2021-09-11,DE,05-14,COVID-19,87,49,60,72,85,100,115,133
testteam-testmodel,hosp,2021-09-11,DE,15-34,COVID-19,559,338,404,469,550,639,727,835
testteam-testmodel,hosp,2021-09-11,DE,35-59,COVID-19,1218,740,882,1023,1198,1390,1580,1812
testteam-testmodel,hosp,2021-09-11,DE,60-79,COVID-19,778,471,562,653,765,889,1011,1159
testteam-testmodel,hosp,2021-09-11,DE,80+,COVID-19,528,319,381,443,520,604,687,789
testteam-testmodel,hosp,2021-09-12,DE,00+,COVID-19,3179,1938,2306,2673,3126,3626,4120,4721
testteam-testmodel,hosp,2021-09-12,DE,00-04,COVID-19,99,57,70,82,97,115,131,152
testteam-testmodel,hosp,2021-09-12,DE,05-14,COVID-19,84,47,58,69,82,97,111,129
testteam-testmodel,hosp,2021-09-12,DE,15-34,COVID-19,555,335,400,466,546,635,722,828
testteam-testmodel,hosp,2021-09-12,DE,35-59,COVID-19,1176,714,851,988,1156,1342,1526,1749
testteam-testmodel,hosp,2021-09-12,DE,60-79,COVID-19,778,471,562,653,765,889,1011,1159
testteam-testmodel,hosp,2021-09-12,DE,80+,COVID-19,546,330,394,458,537,624,710,815
testteam-testmodel,hosp,2021-09-13,DE,00+,COVID-19,3169,1932,2299,2665,3116,3615,4107,4706
testteam-testmodel,hosp,2021-09-13,DE,00-04,COVID-19,96,55,67,79,94,111,127,147
testteam-testmodel,hosp,2021-09-13,DE,05-14,COVID-19,83,47,57,68,81,96,110,127
testteam-testmodel,hosp,2021-09-13,DE,15-34,COVID-19,561,339,405,471,552,642,730,838
testteam-testmodel,hosp,2021-09-13,DE,35-59,COVID-19,1157,703,838,972,1138,1321,1502,1722
testteam-testmodel,hosp,2021-09-13,DE,60-79,COVID-19,782,474,565,657,769,893,1016,1165
testteam-testmodel,hosp,2021-09-13,DE,80+,COVID-19,548,331,395,460,539,626,713,818
testteam-testmodel,hosp,2021-09-14,DE,00+,COVID-19,3144,1917,2281,2645,3092,3587,4075,4670
testteam-testmodel,hosp,2021-09-14,DE,00-04,COVID-19,89,51,62,74,88,103,118,137
testteam-testmodel,hosp,2021-09-14,DE,05-14,COVID-19,69,39,48,57,68,80,92,107
testteam-testmodel,hosp,2021-09-14,DE,15-34,COVID-19,549,331,396,460,540,627,714,819
testteam-testmodel,hosp,2021-09-14,DE,35-59,COVID-19,1157,703,838,972,1138,1321,1502,1722
testteam-testmodel,hosp,2021-09-14,DE,60-79,COVID-19,782,474,565,657,769,893,1016,1165
testteam-testmodel,hosp,2021-09-14,DE,80+,COVID-19,556,336,401,467,547,636,723,830
testteam-testmodel,hosp,2021-09-15,DE,00+,COVID-19,3044,1855,2208,2560,2993,3472,3945,4520
testteam-testmodel,hosp,2021-09-15,DE,00-04,COVID-19,86,49,60,71,85,100,114,132
testteam-testmodel,hosp,2021-09-15,DE,05-14,COVID-19,60,33,41,49,59,70,80,93
testteam-testmodel,hosp,2021-09-15,DE,15-34,COVID-19,526,318,379,441,517,601,684,785
testteam-testmodel,hosp,2021-09-15,DE,35-59,COVID-19,1133,688,820,952,1114,1293,1470,1685
testteam-testmodel,hosp,2021-09-15,DE,60-79,COVID-19,717,434,518,601,705,819,931,1068
testteam-testmodel,hosp,2021-09-15,DE,80+,COVID-19,579,350,418,486,569,662,753,864
testteam-testmodel,hosp,2021-09-16,DE,00+,COVID-19,2984,1819,2164,2510,2934,3404,3868,4432
testteam-testmodel,hosp,2021-09-16,DE,00-04,COVID-19,78,44,54,64,77,90,104,120
testteam-testmodel,hosp,2021-09-16,DE,05-14,COVID-19,59,32,40,48,58,68,79,92
testteam-testmodel,hosp,2021-09-16,DE,15-34,COVID-19,511,308,368,428,502,584,664,762
testteam-testmodel,hosp,2021-09-16,DE,35-59,COVID-19,1103,670,798,927,1085,1259,1432,1641
testteam-testmodel,hosp,2021-09-16,DE,60-79,COVID-19,700,424,506,588,688,800,910,1044
testteam-testmodel,hosp,2021-09-16,DE,80+,COVID-19,589,356,425,494,579,673,766,879
testteam-testmodel,hosp,2021-09-17,DE,00+,COVID-19,2880,1755,2089,2422,2832,3286,3733,4278
testteam-testmodel,hosp,2021-09-17,DE,00-04,COVID-19,78,44,54,64,77,90,104,120
testteam-testmodel,hosp,2021-09-17,DE,05-14,COVID-19,56,31,38,45,55,65,75,87
testteam-testmodel,hosp,2021-09-17,DE,15-34,COVID-19,485,292,349,406,476,554,631,724
testteam-testmodel,hosp,2021-09-17,DE,35-59,COVID-19,1073,652,777,902,1055,1225,1393,1597
testteam-testmodel,hosp,2021-09-17,DE,60-79,COVID-19,682,413,492,572,670,779,886,1016
testteam-testmodel,hosp,2021-09-17,DE,80+,COVID-19,560,338,404,470,551,640,729,836
testteam-testmodel,hosp,2021-09-18,DE,00+,COVID-19,2782,1696,2018,2340,2736,3174,3606,4133
testteam-testmodel,hosp,2021-09-18,DE,00-04,COVID-19,81,46,56,67,80,94,108,125
testteam-testmodel,hosp,2021-09-18,DE,05-14,COVID-19,50,27,34,40,49,58,67,78
testteam-testmodel,hosp,2021-09-18,DE,15-34,COVID-19,487,293,351,408,478,556,633,727
testteam-testmodel,hosp,2021-09-18,DE,35-59,COVID-19,993,603,719,834,977,1134,1289,1478
testteam-testmodel,hosp,2021-09-18,DE,60-79,COVID-19,672,406,485,564,660,767,873,1001
testteam-testmodel,hosp,2021-09-18,DE,80+,COVID-19,552,333,398,463,543,631,718,824
testteam-testmodel,hosp,2021-09-19,DE,00+,COVID-19,2727,1662,1978,2293,2681,3111,3535,4050
testteam-testmodel,hosp,2021-09-19,DE,00-04,COVID-19,76,43,53,62,75,88,101,117
testteam-testmodel,hosp,2021-09-19,DE,05-14,COVID-19,53,29,36,43,52,61,71,83
testteam-testmodel,hosp,2021-09-19,DE,15-34,COVID-19,473,285,341,397,465,541,616,707
testteam-testmodel,hosp,2021-09-19,DE,35-59,COVID-19,993,603,719,834,977,1134,1289,1478
testteam-testmodel,hosp,2021-09-19,DE,60-79,COVID-19,655,396,473,550,644,749,851,977
testteam-testmodel,hosp,2021-09-19,DE,80+,COVID-19,527,318,380,442,519,603,686,787
testteam-testmodel,hosp,2021-09-20,DE,00+,COVID-19,2668,1626,1935,2244,2624,3044,3459,3963
testteam-testmodel,hosp,2021-09-20,DE,00-04,COVID-19,76,43,53,62,75,88,101,117
testteam-testmodel,hosp,2021-09-20,DE,05-14,COVID-19,54,29,37,44,53,63,72,84
testteam-testmodel,hosp,2021-09-20,DE,15-34,COVID-19,459,276,330,384,451,524,597,685
testteam-testmodel,hosp,2021-09-20,DE,35-59,COVID-19,967,587,699,812,950,1104,1255,1439
testteam-testmodel,hosp,2021-09-20,DE,60-79,COVID-19,639,386,461,536,628,730,830,952
testteam-testmodel,hosp,2021-09-20,DE,80+,COVID-19,524,316,378,440,515,599,682,783
testteam-testmodel,hosp,2021-09-21,DE,00+,COVID-19,2598,1583,1884,2184,2554,2964,3367,3859
testteam-testmodel,hosp,2021-09-21,DE,00-04,COVID-19,73,41,50,60,72,84,97,113
testteam-testmodel,hosp,2021-09-21,DE,05-14,COVID-19,53,29,36,43,52,61,71,83
testteam-testmodel,hosp,2021-09-21,DE,15-34,COVID-19,447,269,322,375,440,511,582,668
testteam-testmodel,hosp,2021-09-21,DE,35-59,COVID-19,902,547,652,757,887,1030,1171,1343
testteam-testmodel,hosp,2021-09-21,DE,60-79,COVID-19,657,398,475,551,646,751,854,980
testteam-testmodel,hosp,2021-09-21,DE,80+,COVID-19,514,310,371,431,505,588,669,767
testteam-testmodel,hosp,2021-09-22,DE,00+,COVID-19,2529,1541,1834,2127,2487,2886,3278,3757
testteam-testmodel,hosp,2021-09-22,DE,00-04,COVID-19,69,38,47,56,68,80,92,107
testteam-testmodel,hosp,2021-09-22,DE,05-14,COVID-19,58,32,39,47,57,67,78,90
testteam-testmodel,hosp,2021-09-22,DE,15-34,COVID-19,425,256,306,356,418,487,554,636
testteam-testmodel,hosp,2021-09-22,DE,35-59,COVID-19,874,530,632,734,860,998,1135,1302
testteam-testmodel,hosp,2021-09-22,DE,60-79,COVID-19,683,413,493,573,671,780,887,1018
testteam-testmodel,hosp,2021-09-22,DE,80+,COVID-19,467,281,336,391,459,534,607,697
testteam-testmodel,hosp,2021-09-23,DE,00+,COVID-19,2462,1500,1785,2070,2420,2809,3191,3657
testteam-testmodel,hosp,2021-09-23,DE,00-04,COVID-19,71,40,49,58,70,82,95,110
testteam-testmodel,hosp,2021-09-23,DE,05-14,COVID-19,59,32,40,48,58,68,79,92
testteam-testmodel,hosp,2021-09-23,DE,15-34,COVID-19,414,249,298,347,407,474,539,619
testteam-testmodel,hosp,2021-09-23,DE,35-59,COVID-19,829,503,599,696,815,947,1077,1235
testteam-testmodel,hosp,2021-09-23,DE,60-79,COVID-19,686,415,495,576,674,784,891,1022
testteam-testmodel,hosp,2021-09-23,DE,80+,COVID-19,448,270,323,376,441,513,584,670
testteam-testmodel,hosp,2021-09-24,DE,00+,COVID-19,2461,1499,1784,2069,2419,2807,3190,3655
testteam-testmodel,hosp,2021-09-24,DE,00-04,COVID-19,73,41,50,60,72,84,97,113
testteam-testmodel,hosp,2021-09-24,DE,05-14,COVID-19,62,34,42,51,61,72,83,96
testteam-testmodel,hosp,2021-09-24,DE,15-34,COVID-19,419,252,302,351,412,479,546,627
testteam-testmodel,hosp,2021-09-24,DE,35-59,COVID-19,831,504,601,698,817,949,1079,1238
testteam-testmodel,hosp,2021-09-24,DE,60-79,COVID-19,660,399,477,554,649,754,858,984
testteam-testmodel,hosp,2021-09-24,DE,80+,COVID-19,461,278,332,386,453,527,599,688
testteam-testmodel,hosp,2021-09-25,DE,00+,COVID-19,2434,1483,1765,2047,2394,2777,3156,3616
testteam-testmodel,hosp,2021-09-25,DE,00-04,COVID-19,75,42,52,62,74,87,100,116
testteam-testmodel,hosp,2021-09-25,DE,05-14,COVID-19,57,31,39,46,56,66,76,89
testteam-testmodel,hosp,2021-09-25,DE,15-34,COVID-19,410,247,295,343,403,469,534,613
testteam-testmodel,hosp,2021-09-25,DE,35-59,COVID-19,846,513,611,710,831,966,1098,1259
testteam-testmodel,hosp,2021-09-25,DE,60-79,COVID-19,644,389,465,540,633,736,837,960
testteam-testmodel,hosp,2021-09-25,DE,80+,COVID-19,448,270,323,376,441,513,584,670
testteam-testmodel,hosp,2021-09-26,DE,00+,COVID-19,2401,1463,1741,2019,2361,2739,3113,3567
testteam-testmodel,hosp,2021-09-26,DE,00-04,COVID-19,73,41,50,60,72,84,97,113
testteam-testmodel,hosp,2021-09-26,DE,05-14,COVID-19,55,30,37,45,54,64,74,86
testteam-testmodel,hosp,2021-09-26,DE,15-34,COVID-19,400,240,287,335,393,457,520,597
testteam-testmodel,hosp,2021-09-26,DE,35-59,COVID-19,813,493,587,682,799,928,1055,1210
testteam-testmodel,hosp,2021-09-26,DE,60-79,COVID-19,643,389,464,539,632,735,836,959
testteam-testmodel,hosp,2021-09-26,DE,80+,COVID-19,463,279,333,388,455,529,602,691
testteam-testmodel,hosp,2021-09-27,DE,00+,COVID-19,2402,1463,1742,2020,2362,2741,3114,3568
testteam-testmodel,hosp,2021-09-27,DE,00-04,COVID-19,72,40,50,59,71,83,96,111
testteam-testmodel,hosp,2021-09-27,DE,05-14,COVID-19,58,32,39,47,57,67,78,90
testteam-testmodel,hosp,2021-09-27,DE,15-34,COVID-19,396,238,285,332,390,453,516,593
testteam-testmodel,hosp,2021-09-27,DE,35-59,COVID-19,809,490,585,679,795,923,1050,1204
testteam-testmodel,hosp,2021-09-27,DE,60-79,COVID-19,646,391,466,542,635,738,840,963
testteam-testmodel,hosp,2021-09-27,DE,80+,COVID-19,466,281,336,390,458,533,606,696
testteam-testmodel,hosp,2021-09-28,DE,00+,COVID-19,2421,1475,1756,2036,2381,2762,3139,3597
testteam-testmodel,hosp,2021-09-28,DE,00-04,COVID-19,69,38,47,56,68,80,92,107
testteam-testmodel,hosp,2021-09-28,DE,05-14,COVID-19,59,32,40,48,58,68,79,92
testteam-testmodel,hosp,2021-09-28,DE,15-34,COVID-19,392,236,282,329,386,449,511,587
testteam-testmodel,hosp,2021-09-28,DE,35-59,COVID-19,814,493,588,683,800,929,1057,1212
testteam-testmodel,hosp,2021-09-28,DE,60-79,COVID-19,641,388,463,538,630,732,833,956
testteam-testmodel,hosp,2021-09-28,DE,80+,COVID-19,491,296,354,412,483,562,639,734
testteam-testmodel,hosp,2021-09-29,DE,00+,COVID-19,2495,1520,1809,2098,2453,2846,3234,3706
testteam-testmodel,hosp,2021-09-29,DE,00-04,COVID-19,74,42,51,61,73,86,99,114
testteam-testmodel,hosp,2021-09-29,DE,05-14,COVID-19,58,32,39,47,57,67,78,90
testteam-testmodel,hosp,2021-09-29,DE,15-34,COVID-19,413,248,297,346,406,472,538,618
testteam-testmodel,hosp,2021-09-29,DE,35-59,COVID-19,827,501,598,694,813,945,1074,1232
testteam-testmodel,hosp,2021-09-29,DE,60-79,COVID-19,639,386,461,536,628,730,830,952
testteam-testmodel,hosp,2021-09-29,DE,80+,COVID-19,531,320,383,445,522,606,690,792
testteam-testmodel,hosp,2021-09-30,DE,00+,COVID-19,2521,1536,1828,2120,2479,2876,3268,3745
testteam-testmodel,hosp,2021-09-30,DE,00-04,COVID-19,73,41,50,60,72,84,97,113
testteam-testmodel,hosp,2021-09-30,DE,05-14,COVID-19,57,31,39,46,56,66,76,89
testteam-testmodel,hosp,2021-09-30,DE,15-34,COVID-19,411,247,296,344,404,470,535,614
testteam-testmodel,hosp,2021-09-30,DE,35-59,COVID-19,846,513,611,710,831,966,1098,1259
testteam-testmodel,hosp,2021-09-30,DE,60-79,COVID-19,622,376,449,522,612,711,809,928
testteam-testmodel,hosp,2021-09-30,DE,80+,COVID-19,559,338,404,469,550,639,727,835
testteam-testmodel,hosp,2021-10-01,DE,00+,COVID-19,2447,1491,1775,2058,2407,2792,3173,3636
testteam-testmodel,hosp,2021-10-01,DE,00-04,COVID-19,67,37,46,55,66,78,89,104
testteam-testmodel,hosp,2021-10-01,DE,05-14,COVID-19,53,29,36,43,52,61,71,83
testteam-testmodel,hosp,2021-10-01,DE,15-34,COVID-19,389,234,280,326,383,445,507,582
testteam-testmodel,hosp,2021-10-01,DE,35-59,COVID-19,796,483,576,668,783,909,1034,1186
testteam-testmodel,hosp,2021-10-01,DE,60-79,COVID-19,625,378,452,525,615,715,813,933
testteam-testmodel,hosp,2021-10-01,DE,80+,COVID-19,562,340,406,472,553,643,731,839
testteam-testmodel,hosp,2021-10-02,DE,00+,COVID-19,2426,1478,1759,2040,2386,2768,3145,3604
testteam-testmodel,hosp,2021-10-02,DE,00-04,COVID-19,65,36,45,53,64,75,87,101
testteam-testmodel,hosp,2021-10-02,DE,05-14,COVID-19,58,32,39,47,57,67,78,90
testteam-testmodel,hosp,2021-10-02,DE,15-34,COVID-19,373,224,268,312,366,426,485,557
testteam-testmodel,hosp,2021-10-02,DE,35-59,COVID-19,784,475,567,658,771,895,1018,1168
testteam-testmodel,hosp,2021-10-02,DE,60-79,COVID-19,616,373,445,517,606,704,801,919
testteam-testmodel,hosp,2021-10-02,DE,80+,COVID-19,576,348,415,483,566,658,749,859
