model,target_type,target_end_date,location,age_group,pathogen,mean,q0.025,q0.1,q0.25,q0.5,q0.75,q0.9,q0.975
testteam-testmodel,hosp,2021-08-30,DE,00+,COVID-19,3224,1965,2339,2711,3170,3678,4178,4788
testteam-testmodel,hosp,2021-08-30,DE,00-04,COVID-19,89,51,62,73,87,103,118,137
testteam-testmodel,hosp,2021-08-30,DE,05-14,COVID-19,74,42,51,61,73,86,99,115
testteam-testmodel,hosp,2021-08-30,DE,15-34,COVID-19,682,413,493,573,671,779,887,1017
testteam-testmodel,hosp,2021-08-30,DE,35-59,COVID-19,1366,831,989,1148,1343,1559,1772,2031
testteam-testmodel,hosp,2021-08-30,DE,60-79,COVID-19,645,390,466,541,634,737,839,962
testteam-testmodel,hosp,2021-08-30,DE,80+,COVID-19,393,236,283,329,386,450,512,588
testteam-testmodel,hosp,2021-08-31,DE,00+,COVID-19,3195,1948,2318,2687,3142,3645,4141,4745
testteam-testmodel,hosp,2021-08-31,DE,00-04,COVID-19,89,51,62,73,87,103,118,137
testteam-testmodel,hosp,2021-08-31,DE,05-14,COVID-19,78,44,54,64,77,91,104,121
testteam-testmodel,hosp,2021-08-31,DE,15-34,COVID-19,664,402,480,557,653,759,863,990
testteam-testmodel,hosp,2021-08-31,DE,35-59,COVID-19,1321,803,956,1110,1299,1508,1713,1964
testteam-testmodel,hosp,2021-08-31,DE,60-79,COVID-19,657,397,474,551,645,750,853,979
testteam-testmodel,hosp,2021-08-31,DE,80+,COVID-19,412,248,297,345,405,471,537,616
testteam-testmodel,hosp,2021-09-01,DE,00+,COVID-19,3219,1962,2335,2707,3165,3672,4172,4780
testteam-testmodel,hosp,2021-09-01,DE,00-04,COVID-19,84,48,58,69,82,97,111,129
testteam-testmodel,hosp,2021-09-01,DE,05-14,COVID-19,74,42,51,61,73,86,99,115
testteam-testmodel,hosp,2021-09-01,DE,15-34,COVID-19,646,391,467,542,635,738,840,964
testteam-testmodel,hosp,2021-09-01,DE,35-59,COVID-19,1332,810,965,1119,1310,1520,1728,1981
testteam-testmodel,hosp,2021-09-01,DE,60-79,COVID-19,665,402,480,558,654,759,864,991
testteam-testmodel,hosp,2021-09-01,DE,80+,COVID-19,444,267,320,372,436,508,578,663
testteam-testmodel,hosp,2021-09-02,DE,00+,COVID-19,3200,1951,2321,2691,3147,3651,4148,4752
testteam-testmodel,hosp,2021-09-02,DE,00-04,COVID-19,78,44,54,64,76,90,103,120
testteam-testmodel,hosp,2021-09-02,DE,05-14,COVID-19,68,38,47,56,67,79,91,106
testteam-testmodel,hosp,2021-09-02,DE,15-34,COVID-19,643,389,464,540,632,735,836,959
testteam-testmodel,hosp,2021-09-02,DE,35-59,COVID-19,1320,802,956,1109,1298,1506,1712,1963
testteam-testmodel,hosp,2021-09-02,DE,60-79,COVID-19,662,400,478,555,651,756,860,986
testteam-testmodel,hosp,2021-09-02,DE,80+,COVID-19,457,275,329,383,449,522,594,682
testteam-testmodel,hosp,2021-09-03,DE,00+,COVID-19,3211,1957,2329,2700,3157,3663,4161,4768
testteam-testmodel,hosp,2021-09-03,DE,00-04,COVID-19,75,42,52,62,74,87,101,117
testteam-testmodel,hosp,2021-09-03,DE,05-14,COVID-19,71,40,49,58,70,82,95,110
testteam-testmodel,hosp,2021-09-03,DE,15-34,COVID-19,662,401,478,556,651,757,861,987
testteam-testmodel,hosp,2021-09-03,DE,35-59,COVID-19,1305,793,945,1097,1283,1490,1693,1941
testteam-testmodel,hosp,2021-09-03,DE,60-79,COVID-19,679,411,491,570,668,776,882,1012
testteam-testmodel,hosp,2021-09-03,DE,80+,COVID-19,444,267,320,372,436,508,578,663
testteam-testmodel,hosp,2021-09-04,DE,00+,COVID-19,3230,1969,2343,2717,3176,3685,4186,4797
testteam-testmodel,hosp,2021-09-04,DE,00-04,COVID-19,71,40,49,59,70,83,95,110
testteam-testmodel,hosp,2021-09-04,DE,05-14,COVID-19,66,37,45,54,65,77,88,103
testteam-testmodel,hosp,2021-09-04,DE,15-34,COVID-19,647,392,467,543,636,740,841,965
testteam-testmodel,hosp,2021-09-04,DE,35-59,COVID-19,1300,790,942,1092,1278,1484,1687,1934
testteam-testmodel,hosp,2021-09-04,DE,60-79,COVID-19,706,427,510,592,694,806,917,1052
testteam-testmodel,hosp,2021-09-04,DE,80+,COVID-19,465,280,335,390,457,532,605,695
testteam-testmodel,hosp,2021-09-05,DE,00+,COVID-19,3220,1963,2336,2708,3166,3673,4173,4782
testteam-testmodel,hosp,2021-09-05,DE,00-04,COVID-19,75,42,52,62,74,87,101,117
testteam-testmodel,hosp,2021-09-05,DE,05-14,COVID-19,67,37,46,55,66,78,90,104
testteam-testmodel,hosp,2021-09-05,DE,15-34,COVID-19,630,381,455,529,620,720,819,940
testteam-testmodel,hosp,2021-09-05,DE,35-59,COVID-19,1289,783,933,1083,1267,1471,1672,1917
testteam-testmodel,hosp,2021-09-05,DE,60-79,COVID-19,707,428,511,593,695,807,918,1053
testteam-testmodel,hosp,2021-09-05,DE,80+,COVID-19,477,287,344,400,469,545,621,712
testteam-testmodel,hosp,2021-09-06,DE,00+,COVID-19,3211,1957,2329,2700,3157,3663,4161,4768
testteam-testmodel,hosp,2021-09-06,DE,00-04,COVID-19,79,44,54,65,77,91,105,121
testteam-testmodel,hosp,2021-09-06,DE,05-14,COVID-19,67,37,46,55,66,78,90,104
testteam-testmodel,hosp,2021-09-06,DE,15-34,COVID-19,632,382,456,530,621,722,821,942
testteam-testmodel,hosp,2021-09-06,DE,35-59,COVID-19,1275,775,924,1072,1254,1456,1655,1897
testteam-testmodel,hosp,2021-09-06,DE,60-79,COVID-19,707,428,511,593,695,807,918,1053
testteam-testmodel,hosp,2021-09-06,DE,80+,COVID-19,477,287,344,400,469,545,621,712
testteam-testmodel,hosp,2021-09-07,DE,00+,COVID-19,3227,1967,2341,2714,3173,3681,4182,4792
testteam-testmodel,hosp,2021-09-07,DE,00-04,COVID-19,91,52,63,75,89,105,121,140
