model,target_type,target_end_date,location,age_group,pathogen,mean,q0.025,q0.1,q0.25,q0.5,q0.75,q0.9,q0.975
testteam-testmodel,hosp,2021-09-05,DE,00+,COVID-19,3244,1978,2354,2729,3190,3701,4205,4818
testteam-testmodel,hosp,2021-09-05,DE,00-04,COVID-19,76,43,53,63,75,88,102,118
testteam-testmodel,hosp,2021-09-05,DE,05-14,COVID-19,72,40,50,59,70,83,96,111
testteam-testmodel,hosp,2021-09-05,DE,15-34,COVID-19,613,370,442,514,602,700,796,914
testteam-testmodel,hosp,2021-09-05,DE,35-59,COVID-19,1304,792,944,1096,1282,1488,1691,1939
testteam-testmodel,hosp,2021-09-05,DE,60-79,COVID-19,713,432,515,599,701,815,927,1063
testteam-testmodel,hosp,2021-09-05,DE,80+,COVID-19,471,284,339,394,463,538,612,703
testteam-testmodel,hosp,2021-09-06,DE,00+,COVID-19,3231,1970,2344,2717,3177,3686,4188,4798
testteam-testmodel,hosp,2021-09-06,DE,00-04,COVID-19,79,45,55,65,78,92,106,122
testteam-testmodel,hosp,2021-09-06,DE,05-14,COVID-19,73,41,50,60,71,84,97,113
testteam-testmodel,hosp,2021-09-06,DE,15-34,COVID-19,613,370,442,514,602,700,796,914
testteam-testmodel,hosp,2021-09-06,DE,35-59,COVID-19,1288,783,933,1083,1267,1471,1672,1916
testteam-testmodel,hosp,2021-09-06,DE,60-79,COVID-19,711,431,514,597,699,813,924,1060
testteam-testmodel,hosp,2021-09-06,DE,80+,COVID-19,471,284,339,394,463,538,612,703
testteam-testmodel,hosp,2021-09-07,DE,00+,COVID-19,3241,1976,2351,2726,3187,3698,4201,4813
testteam-testmodel,hosp,2021-09-07,DE,00-04,COVID-19,91,52,63,75,89,105,120,139
testteam-testmodel,hosp,2021-09-07,DE,05-14,COVID-19,82,46,57,68,81,95,109,126
testteam-testmodel,hosp,2021-09-07,DE,15-34,COVID-19,606,366,437,508,595,692,787,903
testteam-testmodel,hosp,2021-09-07,DE,35-59,COVID-19,1278,777,926,1074,1257,1459,1658,1901
testteam-testmodel,hosp,2021-09-07,DE,60-79,COVID-19,707,428,511,594,695,808,919,1054
testteam-testmodel,hosp,2021-09-07,DE,80+,COVID-19,482,290,347,404,474,551,627,720
testteam-testmodel,hosp,2021-09-08,DE,00+,COVID-19,3228,1968,2342,2715,3174,3683,4184,4794
testteam-testmodel,hosp,2021-09-08,DE,00-04,COVID-19,92,52,64,76,90,106,122,141
testteam-testmodel,hosp,2021-09-08,DE,05-14,COVID-19,90,51,63,74,89,104,120,139
testteam-testmodel,hosp,2021-09-08,DE,15-34,COVID-19,606,366,437,508,595,692,787,903
testteam-testmodel,hosp,2021-09-08,DE,35-59,COVID-19,1219,741,882,1024,1198,1391,1581,1813
testteam-testmodel,hosp,2021-09-08,DE,60-79,COVID-19,743,450,537,624,730,849,965,1107
testteam-testmodel,hosp,2021-09-08,DE,80+,COVID-19,483,291,348,405,475,552,628,721
testteam-testmodel,hosp,2021-09-09,DE,00+,COVID-19,3227,1967,2341,2714,3173,3682,4182,4792
testteam-testmodel,hosp,2021-09-09,DE,00-04,COVID-19,97,56,68,80,95,112,128,148
testteam-testmodel,hosp,2021-09-09,DE,05-14,COVID-19,89,51,62,74,88,103,118,137
testteam-testmodel,hosp,2021-09-09,DE,15-34,COVID-19,581,351,419,487,571,663,755,866
testteam-testmodel,hosp,2021-09-09,DE,35-59,COVID-19,1213,737,878,1019,1192,1384,1573,1804
testteam-testmodel,hosp,2021-09-09,DE,60-79,COVID-19,767,465,555,644,754,876,997,1143
testteam-testmodel,hosp,2021-09-09,DE,80+,COVID-19,485,292,350,407,477,554,631,724
testteam-testmodel,hosp,2021-09-10,DE,00+,COVID-19,3241,1976,2351,2726,3187,3698,4201,4813
testteam-testmodel,hosp,2021-09-10,DE,00-04,COVID-19,100,57,70,83,98,115,132,153
testteam-testmodel,hosp,2021-09-10,DE,05-14,COVID-19,82,46,57,68,81,95,109,126
testteam-testmodel,hosp,2021-09-10,DE,15-34,COVID-19,555,335,401,466,546,635,722,829
testteam-testmodel,hosp,2021-09-10,DE,35-59,COVID-19,1215,738,879,1021,1194,1387,1576,1807
testteam-testmodel,hosp,2021-09-10,DE,60-79,COVID-19,778,472,563,654,765,889,1011,1160
testteam-testmodel,hosp,2021-09-10,DE,80+,COVID-19,516,311,372,433,507,590,671,770
testteam-testmodel,hosp,2021-09-11,DE,00+,COVID-19,3239,1975,2350,2724,3185,3695,4198,4810
testteam-testmodel,hosp,2021-09-11,DE,00-04,COVID-19,100,57,70,83,98,115,132,153
testteam-testmodel,hosp,2021-09-11,DE,05-14,COVID-19,86,49,60,71,85,100,114,132
testteam-testmodel,hosp,2021-09-11,DE,15-34,COVID-19,541,327,390,454,532,619,704,808
testteam-testmodel,hosp,2021-09-11,DE,35-59,COVID-19,1216,739,880,1021,1195,1388,1577,1808
