model,target_type,target_end_date,location,age_group,pathogen,mean,q0.025,q0.1,q0.25,q0.5,q0.75,q0.9,q0.975
testteam-testmodel,hosp,2021-08-29,DE,00+,COVID-19,3147,1919,2283,2647,3095,3591,4079,4674
testteam-testmodel,hosp,2021-08-29,DE,00-04,COVID-19,86,49,60,71,84,99,114,132
testteam-testmodel,hosp,2021-08-29,DE,05-14,COVID-19,73,41,51,60,72,85,98,113
testteam-testmodel,hosp,2021-08-29,DE,15-34,COVID-19,657,397,474,551,646,750,854,979
testteam-testmodel,hosp,2021-08-29,DE,35-59,COVID-19,1378,838,998,1158,1355,1573,1788,2050
testteam-testmodel,hosp,2021-08-29,DE,60-79,COVID-19,651,394,470,546,640,743,846,970
testteam-testmodel,hosp,2021-08-29,DE,80+,COVID-19,373,224,268,312,366,427,486,558
testteam-testmodel,hosp,2021-08-30,DE,00+,COVID-19,3163,1928,2295,2660,3111,3609,4100,4698
testteam-testmodel,hosp,2021-08-30,DE,00-04,COVID-19,86,49,60,71,84,99,114,132
testteam-testmodel,hosp,2021-08-30,DE,05-14,COVID-19,73,41,51,60,72,85,98,113
testteam-testmodel,hosp,2021-08-30,DE,15-34,COVID-19,638,386,461,535,627,729,829,951
testteam-testmodel,hosp,2021-08-30,DE,35-59,COVID-19,1399,851,1014,1176,1376,1597,1815,2081
testteam-testmodel,hosp,2021-08-30,DE,60-79,COVID-19,658,398,475,552,647,752,855,981
testteam-testmodel,hosp,2021-08-30,DE,80+,COVID-19,381,229,274,319,375,436,496,570
testteam-testmodel,hosp,2021-08-31,DE,00+,COVID-19,3135,1911,2274,2637,3083,3577,4063,4656
testteam-testmodel,hosp,2021-08-31,DE,00-04,COVID-19,86,49,60,71,84,99,114,132
testteam-testmodel,hosp,2021-08-31,DE,05-14,COVID-19,77,44,54,64,76,90,103,119
testteam-testmodel,hosp,2021-08-31,DE,15-34,COVID-19,621,376,448,521,611,710,807,926
testteam-testmodel,hosp,2021-08-31,DE,35-59,COVID-19,1353,823,980,1137,1330,1544,1755,2012
testteam-testmodel,hosp,2021-08-31,DE,60-79,COVID-19,670,405,484,562,658,765,870,998
testteam-testmodel,hosp,2021-08-31,DE,80+,COVID-19,400,240,288,335,393,457,520,598
