model,target_type,target_end_date,location,age_group,pathogen,mean,q0.025,q0.1,q0.25,q0.5,q0.75,q0.9,q0.975
RKI-weekly_report,hosp,2021-09-17,DE,00+,COVID-19,2844.0,2786.0,,,,,,2904.0
RKI-weekly_report,hosp,2021-09-18,DE,00+,COVID-19,2792.0,2734.0,,,,,,2846.0
RKI-weekly_report,hosp,2021-09-19,DE,00+,COVID-19,2733.0,2677.0,,,,,,2797.0
RKI-weekly_report,hosp,2021-09-20,DE,00+,COVID-19,2672.0,2608.0,,,,,,2743.0
RKI-weekly_report,hosp,2021-09-21,DE,00+,COVID-19,2611.0,2553.0,,,,,,2674.0
RKI-weekly_report,hosp,2021-09-22,DE,00+,COVID-19,2566.0,2522.0,,,,,,2622.0
RKI-weekly_report,hosp,2021-09-23,DE,00+,COVID-19,2571.0,2522.0,,,,,,2616.0
RKI-weekly_report,hosp,2021-09-24,DE,00+,COVID-19,2559.0,2499.0,,,,,,2611.0
RKI-weekly_report,hosp,2021-09-25,DE,00+,COVID-19,2532.0,2484.0,,,,,,2593.0
RKI-weekly_report,hosp,2021-09-26,DE,00+,COVID-19,2540.0,2490.0,,,,,,2611.0
RKI-weekly_report,hosp,2021-09-27,DE,00+,COVID-19,2575.0,2504.0,,,,,,2668.0
RKI-weekly_report,hosp,2021-09-28,DE,00+,COVID-19,2656.0,2559.0,,,,,,2754.0
RKI-weekly_report,hosp,2021-09-29,DE,00+,COVID-19,2696.0,2608.0,,,,,,2783.0
RKI-weekly_report,hosp,2021-09-30,DE,00+,COVID-19,2663.0,2576.0,,,,,,2754.0
RKI-weekly_report,hosp,2021-10-01,DE,00+,COVID-19,2658.0,2576.0,,,,,,2749.0
RKI-weekly_report,hosp,2021-10-02,DE,00+,COVID-19,2669.0,2585.0,,,,,,2760.0
RKI-weekly_report,hosp,2021-10-03,DE,00+,COVID-19,2678.0,2585.0,,,,,,2766.0
RKI-weekly_report,hosp,2021-10-04,DE,00+,COVID-19,2673.0,2555.0,,,,,,2766.0
RKI-weekly_report,hosp,2021-10-05,DE,00+,COVID-19,2621.0,2522.0,,,,,,2737.0
RKI-weekly_report,hosp,2021-10-06,DE,00+,COVID-19,2628.0,2524.0,,,,,,2760.0
RKI-weekly_report,hosp,2021-10-07,DE,00+,COVID-19,2700.0,2556.0,,,,,,2858.0
RKI-weekly_report,hosp,2021-10-08,DE,00+,COVID-19,2800.0,2641.0,,,,,,2961.0
RKI-weekly_report,hosp,2021-10-09,DE,00+,COVID-19,2871.0,2734.0,,,,,,3016.0
testteam-testmodel,hosp,2021-09-17,DE,00+,COVID-19,2957.0,1802.0,2145.0,2486.0,2907.0,3373.0,3832.0,4391.0
testteam-testmodel,hosp,2021-09-17,DE,00-04,COVID-19,78.0,44.0,54.0,64.0,77.0,90.0,104.0,120.0
testteam-testmodel,hosp,2021-09-17,DE,05-14,COVID-19,55.0,30.0,38.0,45.0,54.0,64.0,74.0,87.0
testteam-testmodel,hosp,2021-09-17,DE,15-34,COVID-19,466.0,281.0,336.0,391.0,458.0,533.0,607.0,696.0
testteam-testmodel,hosp,2021-09-17,DE,35-59,COVID-19,1077.0,654.0,780.0,905.0,1059.0,1230.0,1398.0,1603.0
testteam-testmodel,hosp,2021-09-17,DE,60-79,COVID-19,683.0,413.0,493.0,573.0,672.0,781.0,888.0,1018.0
testteam-testmodel,hosp,2021-09-17,DE,80+,COVID-19,563.0,340.0,406.0,472.0,554.0,644.0,732.0,840.0
testteam-testmodel,hosp,2021-09-18,DE,00+,COVID-19,2856.0,1741.0,2072.0,2402.0,2809.0,3259.0,3702.0,4242.0
testteam-testmodel,hosp,2021-09-18,DE,00-04,COVID-19,81.0,46.0,56.0,67.0,80.0,94.0,108.0,125.0
testteam-testmodel,hosp,2021-09-18,DE,05-14,COVID-19,49.0,27.0,33.0,40.0,48.0,57.0,66.0,77.0
testteam-testmodel,hosp,2021-09-18,DE,15-34,COVID-19,468.0,282.0,337.0,392.0,460.0,535.0,609.0,699.0
testteam-testmodel,hosp,2021-09-18,DE,35-59,COVID-19,997.0,605.0,721.0,837.0,980.0,1138.0,1294.0,1484.0
testteam-testmodel,hosp,2021-09-18,DE,60-79,COVID-19,673.0,407.0,486.0,565.0,662.0,769.0,875.0,1003.0
testteam-testmodel,hosp,2021-09-18,DE,80+,COVID-19,555.0,335.0,400.0,466.0,546.0,634.0,722.0,828.0
testteam-testmodel,hosp,2021-09-19,DE,00+,COVID-19,2799.0,1706.0,2030.0,2354.0,2753.0,3194.0,3628.0,4158.0
testteam-testmodel,hosp,2021-09-19,DE,00-04,COVID-19,76.0,43.0,53.0,62.0,75.0,88.0,101.0,117.0
testteam-testmodel,hosp,2021-09-19,DE,05-14,COVID-19,52.0,28.0,35.0,42.0,51.0,61.0,70.0,82.0
testteam-testmodel,hosp,2021-09-19,DE,15-34,COVID-19,455.0,274.0,328.0,382.0,447.0,521.0,592.0,680.0
testteam-testmodel,hosp,2021-09-19,DE,35-59,COVID-19,997.0,605.0,721.0,837.0,980.0,1138.0,1294.0,1484.0
testteam-testmodel,hosp,2021-09-19,DE,60-79,COVID-19,657.0,397.0,474.0,551.0,645.0,750.0,853.0,979.0
testteam-testmodel,hosp,2021-09-19,DE,80+,COVID-19,530.0,320.0,382.0,445.0,521.0,606.0,690.0,791.0
testteam-testmodel,hosp,2021-09-20,DE,00+,COVID-19,2739.0,1669.0,1987.0,2303.0,2694.0,3125.0,3551.0,4069.0
testteam-testmodel,hosp,2021-09-20,DE,00-04,COVID-19,76.0,43.0,53.0,62.0,75.0,88.0,101.0,117.0
testteam-testmodel,hosp,2021-09-20,DE,05-14,COVID-19,53.0,29.0,36.0,43.0,52.0,62.0,72.0,83.0
testteam-testmodel,hosp,2021-09-20,DE,15-34,COVID-19,441.0,266.0,318.0,370.0,434.0,505.0,574.0,659.0
testteam-testmodel,hosp,2021-09-20,DE,35-59,COVID-19,970.0,589.0,702.0,815.0,954.0,1108.0,1259.0,1444.0
testteam-testmodel,hosp,2021-09-20,DE,60-79,COVID-19,640.0,387.0,462.0,537.0,629.0,731.0,832.0,954.0
testteam-testmodel,hosp,2021-09-20,DE,80+,COVID-19,527.0,318.0,380.0,442.0,518.0,603.0,686.0,787.0
testteam-testmodel,hosp,2021-09-21,DE,00+,COVID-19,2667.0,1625.0,1934.0,2242.0,2622.0,3043.0,3457.0,3961.0
testteam-testmodel,hosp,2021-09-21,DE,00-04,COVID-19,73.0,41.0,50.0,60.0,72.0,85.0,97.0,113.0
testteam-testmodel,hosp,2021-09-21,DE,05-14,COVID-19,52.0,28.0,35.0,42.0,51.0,61.0,70.0,82.0
testteam-testmodel,hosp,2021-09-21,DE,15-34,COVID-19,430.0,259.0,310.0,361.0,423.0,492.0,560.0,643.0
testteam-testmodel,hosp,2021-09-21,DE,35-59,COVID-19,905.0,549.0,655.0,760.0,890.0,1034.0,1175.0,1348.0
testteam-testmodel,hosp,2021-09-21,DE,60-79,COVID-19,659.0,398.0,476.0,553.0,647.0,752.0,856.0,982.0
testteam-testmodel,hosp,2021-09-21,DE,80+,COVID-19,517.0,312.0,373.0,433.0,508.0,591.0,672.0,771.0
testteam-testmodel,hosp,2021-09-22,DE,00+,COVID-19,2596.0,1582.0,1883.0,2183.0,2553.0,2962.0,3365.0,3857.0
testteam-testmodel,hosp,2021-09-22,DE,00-04,COVID-19,69.0,39.0,48.0,57.0,68.0,80.0,92.0,107.0
testteam-testmodel,hosp,2021-09-22,DE,05-14,COVID-19,57.0,31.0,39.0,47.0,56.0,67.0,77.0,90.0
testteam-testmodel,hosp,2021-09-22,DE,15-34,COVID-19,409.0,246.0,295.0,343.0,402.0,468.0,533.0,612.0
testteam-testmodel,hosp,2021-09-22,DE,35-59,COVID-19,877.0,532.0,634.0,737.0,863.0,1002.0,1139.0,1306.0
testteam-testmodel,hosp,2021-09-22,DE,60-79,COVID-19,684.0,414.0,494.0,574.0,673.0,782.0,889.0,1020.0
testteam-testmodel,hosp,2021-09-22,DE,80+,COVID-19,469.0,283.0,338.0,393.0,461.0,537.0,611.0,701.0
testteam-testmodel,hosp,2021-09-23,DE,00+,COVID-19,2527.0,1540.0,1832.0,2125.0,2485.0,2883.0,3276.0,3754.0
testteam-testmodel,hosp,2021-09-23,DE,00-04,COVID-19,71.0,40.0,49.0,58.0,70.0,82.0,95.0,110.0
testteam-testmodel,hosp,2021-09-23,DE,05-14,COVID-19,58.0,32.0,40.0,48.0,57.0,68.0,78.0,91.0
testteam-testmodel,hosp,2021-09-23,DE,15-34,COVID-19,398.0,239.0,287.0,334.0,392.0,456.0,519.0,596.0
testteam-testmodel,hosp,2021-09-23,DE,35-59,COVID-19,832.0,504.0,602.0,699.0,818.0,950.0,1081.0,1239.0
testteam-testmodel,hosp,2021-09-23,DE,60-79,COVID-19,687.0,416.0,496.0,577.0,676.0,785.0,893.0,1024.0
testteam-testmodel,hosp,2021-09-23,DE,80+,COVID-19,451.0,271.0,325.0,378.0,443.0,515.0,587.0,673.0
testteam-testmodel,hosp,2021-09-24,DE,00+,COVID-19,2526.0,1539.0,1832.0,2124.0,2484.0,2882.0,3274.0,3752.0
testteam-testmodel,hosp,2021-09-24,DE,00-04,COVID-19,73.0,41.0,50.0,60.0,72.0,85.0,97.0,113.0
testteam-testmodel,hosp,2021-09-24,DE,05-14,COVID-19,61.0,34.0,42.0,50.0,60.0,71.0,82.0,96.0
testteam-testmodel,hosp,2021-09-24,DE,15-34,COVID-19,403.0,243.0,290.0,338.0,396.0,461.0,525.0,603.0
testteam-testmodel,hosp,2021-09-24,DE,35-59,COVID-19,834.0,506.0,603.0,700.0,820.0,953.0,1083.0,1242.0
testteam-testmodel,hosp,2021-09-24,DE,60-79,COVID-19,662.0,400.0,478.0,555.0,651.0,756.0,860.0,986.0
testteam-testmodel,hosp,2021-09-24,DE,80+,COVID-19,463.0,279.0,334.0,388.0,455.0,529.0,603.0,692.0
testteam-testmodel,hosp,2021-09-25,DE,00+,COVID-19,2499.0,1523.0,1812.0,2101.0,2457.0,2851.0,3239.0,3712.0
testteam-testmodel,hosp,2021-09-25,DE,00-04,COVID-19,75.0,42.0,52.0,62.0,74.0,87.0,100.0,116.0
testteam-testmodel,hosp,2021-09-25,DE,05-14,COVID-19,56.0,31.0,38.0,46.0,55.0,66.0,76.0,88.0
testteam-testmodel,hosp,2021-09-25,DE,15-34,COVID-19,394.0,237.0,284.0,330.0,388.0,451.0,514.0,590.0
testteam-testmodel,hosp,2021-09-25,DE,35-59,COVID-19,849.0,514.0,614.0,712.0,834.0,969.0,1102.0,1264.0
testteam-testmodel,hosp,2021-09-25,DE,60-79,COVID-19,645.0,390.0,466.0,541.0,634.0,737.0,839.0,962.0
testteam-testmodel,hosp,2021-09-25,DE,80+,COVID-19,451.0,271.0,325.0,378.0,443.0,515.0,587.0,673.0
testteam-testmodel,hosp,2021-09-26,DE,00+,COVID-19,2465.0,1502.0,1787.0,2073.0,2424.0,2812.0,3195.0,3661.0
