model,target_type,target_end_date,location,age_group,pathogen,mean,q0.025,q0.1,q0.25,q0.5,q0.75,q0.9,q0.975
testteam-testmodel,hosp,2021-09-13,DE,00+,COVID-19,3241,1976,2351,2726,3187,3698,4201,4814
testteam-testmodel,hosp,2021-09-13,DE,00-04,COVID-19,96,55,67,79,94,110,127,147
testteam-testmodel,hosp,2021-09-13,DE,05-14,COVID-19,82,47,57,68,81,95,109,126
testteam-testmodel,hosp,2021-09-13,DE,15-34,COVID-19,552,333,398,463,542,631,718,823
testteam-testmodel,hosp,2021-09-13,DE,35-59,COVID-19,1145,696,829,962,1126,1307,1486,1704
testteam-testmodel,hosp,2021-09-13,DE,60-79,COVID-19,773,468,559,649,760,883,1004,1151
testteam-testmodel,hosp,2021-09-13,DE,80+,COVID-19,546,330,394,458,537,624,710,815
testteam-testmodel,hosp,2021-09-14,DE,00+,COVID-19,3217,1961,2333,2705,3163,3670,4169,4777
testteam-testmodel,hosp,2021-09-14,DE,00-04,COVID-19,89,50,62,73,87,102,118,136
testteam-testmodel,hosp,2021-09-14,DE,05-14,COVID-19,69,38,47,56,67,80,92,107
testteam-testmodel,hosp,2021-09-14,DE,15-34,COVID-19,540,326,389,452,530,617,702,805
testteam-testmodel,hosp,2021-09-14,DE,35-59,COVID-19,1145,696,829,962,1126,1307,1486,1704
testteam-testmodel,hosp,2021-09-14,DE,60-79,COVID-19,773,468,559,649,760,883,1004,1151
testteam-testmodel,hosp,2021-09-14,DE,80+,COVID-19,554,335,400,465,545,634,721,827
testteam-testmodel,hosp,2021-09-15,DE,00+,COVID-19,3113,1898,2258,2618,3062,3552,4035,4624
testteam-testmodel,hosp,2021-09-15,DE,00-04,COVID-19,86,49,60,71,84,99,114,132
testteam-testmodel,hosp,2021-09-15,DE,05-14,COVID-19,60,33,41,49,58,69,80,93
testteam-testmodel,hosp,2021-09-15,DE,15-34,COVID-19,517,312,373,434,508,591,673,772
testteam-testmodel,hosp,2021-09-15,DE,35-59,COVID-19,1121,681,811,942,1102,1280,1455,1668
testteam-testmodel,hosp,2021-09-15,DE,60-79,COVID-19,708,429,512,594,696,809,920,1055
testteam-testmodel,hosp,2021-09-15,DE,80+,COVID-19,577,349,416,484,567,659,750,861
testteam-testmodel,hosp,2021-09-16,DE,00+,COVID-19,3053,1861,2214,2567,3002,3482,3956,4533
testteam-testmodel,hosp,2021-09-16,DE,00-04,COVID-19,78,44,54,64,76,90,103,120
testteam-testmodel,hosp,2021-09-16,DE,05-14,COVID-19,59,32,40,48,57,68,79,91
testteam-testmodel,hosp,2021-09-16,DE,15-34,COVID-19,502,303,362,421,493,574,653,749
testteam-testmodel,hosp,2021-09-16,DE,35-59,COVID-19,1091,663,790,917,1073,1246,1416,1624
testteam-testmodel,hosp,2021-09-16,DE,60-79,COVID-19,692,419,500,581,680,791,899,1031
testteam-testmodel,hosp,2021-09-16,DE,80+,COVID-19,587,355,424,493,577,671,763,876
testteam-testmodel,hosp,2021-09-17,DE,00+,COVID-19,2946,1796,2137,2478,2897,3361,3819,4376
testteam-testmodel,hosp,2021-09-17,DE,00-04,COVID-19,78,44,54,64,76,90,103,120
testteam-testmodel,hosp,2021-09-17,DE,05-14,COVID-19,55,30,38,45,54,65,75,87
testteam-testmodel,hosp,2021-09-17,DE,15-34,COVID-19,476,287,343,399,468,545,620,711
testteam-testmodel,hosp,2021-09-17,DE,35-59,COVID-19,1062,645,769,892,1044,1212,1378,1580
testteam-testmodel,hosp,2021-09-17,DE,60-79,COVID-19,674,408,487,565,662,770,876,1004
testteam-testmodel,hosp,2021-09-17,DE,80+,COVID-19,559,337,403,468,549,638,726,833
testteam-testmodel,hosp,2021-09-18,DE,00+,COVID-19,2846,1735,2064,2393,2799,3247,3689,4227
testteam-testmodel,hosp,2021-09-18,DE,00-04,COVID-19,81,46,56,66,79,93,107,124
testteam-testmodel,hosp,2021-09-18,DE,05-14,COVID-19,49,27,33,40,48,57,67,78
testteam-testmodel,hosp,2021-09-18,DE,15-34,COVID-19,478,288,345,401,470,547,622,714
testteam-testmodel,hosp,2021-09-18,DE,35-59,COVID-19,983,596,711,825,966,1122,1276,1463
testteam-testmodel,hosp,2021-09-18,DE,60-79,COVID-19,664,402,479,557,652,758,862,989
testteam-testmodel,hosp,2021-09-18,DE,80+,COVID-19,550,332,397,462,541,629,716,821
testteam-testmodel,hosp,2021-09-19,DE,00+,COVID-19,2789,1700,2023,2346,2743,3182,3616,4143
testteam-testmodel,hosp,2021-09-19,DE,00-04,COVID-19,76,42,52,62,74,87,101,117
testteam-testmodel,hosp,2021-09-19,DE,05-14,COVID-19,52,28,36,43,51,61,71,82
testteam-testmodel,hosp,2021-09-19,DE,15-34,COVID-19,465,280,335,390,457,532,605,695
testteam-testmodel,hosp,2021-09-19,DE,35-59,COVID-19,983,596,711,825,966,1122,1276,1463
testteam-testmodel,hosp,2021-09-19,DE,60-79,COVID-19,647,392,468,543,637,740,841,965
testteam-testmodel,hosp,2021-09-19,DE,80+,COVID-19,526,317,379,441,517,601,684,785
testteam-testmodel,hosp,2021-09-20,DE,00+,COVID-19,2730,1663,1980,2295,2684,3114,3538,4054
testteam-testmodel,hosp,2021-09-20,DE,00-04,COVID-19,76,42,52,62,74,87,101,117
testteam-testmodel,hosp,2021-09-20,DE,05-14,COVID-19,53,29,36,43,52,62,72,84
testteam-testmodel,hosp,2021-09-20,DE,15-34,COVID-19,451,272,325,378,443,516,587,674
testteam-testmodel,hosp,2021-09-20,DE,35-59,COVID-19,956,580,692,803,940,1092,1242,1424
testteam-testmodel,hosp,2021-09-20,DE,60-79,COVID-19,631,382,456,530,621,721,821,941
testteam-testmodel,hosp,2021-09-20,DE,80+,COVID-19,523,315,377,438,514,597,680,780
testteam-testmodel,hosp,2021-09-21,DE,00+,COVID-19,2657,1619,1927,2235,2613,3032,3444,3947
testteam-testmodel,hosp,2021-09-21,DE,00-04,COVID-19,72,41,50,60,71,84,97,112
testteam-testmodel,hosp,2021-09-21,DE,05-14,COVID-19,52,28,36,43,51,61,71,82
testteam-testmodel,hosp,2021-09-21,DE,15-34,COVID-19,440,265,317,368,432,503,572,657
testteam-testmodel,hosp,2021-09-21,DE,35-59,COVID-19,892,541,645,749,877,1019,1159,1329
testteam-testmodel,hosp,2021-09-21,DE,60-79,COVID-19,649,393,469,545,639,742,844,968
testteam-testmodel,hosp,2021-09-21,DE,80+,COVID-19,512,309,369,430,504,586,667,765
testteam-testmodel,hosp,2021-09-22,DE,00+,COVID-19,2587,1576,1876,2175,2544,2952,3354,3843
testteam-testmodel,hosp,2021-09-22,DE,00-04,COVID-19,68,38,47,56,67,79,91,106
testteam-testmodel,hosp,2021-09-22,DE,05-14,COVID-19,57,32,39,47,56,67,77,90
testteam-testmodel,hosp,2021-09-22,DE,15-34,COVID-19,418,252,301,350,411,478,545,625
testteam-testmodel,hosp,2021-09-22,DE,35-59,COVID-19,865,524,625,726,850,988,1123,1288
testteam-testmodel,hosp,2021-09-22,DE,60-79,COVID-19,675,408,487,566,663,771,877,1006
testteam-testmodel,hosp,2021-09-22,DE,80+,COVID-19,465,280,335,390,457,532,606,695
testteam-testmodel,hosp,2021-09-23,DE,00+,COVID-19,2518,1534,1826,2117,2476,2873,3264,3740
testteam-testmodel,hosp,2021-09-23,DE,00-04,COVID-19,70,39,49,58,69,82,94,109
testteam-testmodel,hosp,2021-09-23,DE,05-14,COVID-19,59,32,40,48,57,68,79,91
testteam-testmodel,hosp,2021-09-23,DE,15-34,COVID-19,407,245,293,341,400,466,530,609
testteam-testmodel,hosp,2021-09-23,DE,35-59,COVID-19,820,497,593,689,807,937,1065,1222
testteam-testmodel,hosp,2021-09-23,DE,60-79,COVID-19,678,410,490,569,666,774,881,1010
testteam-testmodel,hosp,2021-09-23,DE,80+,COVID-19,447,269,322,374,439,511,582,668
testteam-testmodel,hosp,2021-09-24,DE,00+,COVID-19,2517,1534,1825,2116,2475,2872,3263,3739
testteam-testmodel,hosp,2021-09-24,DE,00-04,COVID-19,72,41,50,60,71,84,97,112
testteam-testmodel,hosp,2021-09-24,DE,05-14,COVID-19,62,34,42,50,60,72,83,96
testteam-testmodel,hosp,2021-09-24,DE,15-34,COVID-19,412,248,297,345,405,471,537,616
testteam-testmodel,hosp,2021-09-24,DE,35-59,COVID-19,822,498,595,690,809,939,1068,1225
testteam-testmodel,hosp,2021-09-24,DE,60-79,COVID-19,653,395,471,548,642,746,848,973
testteam-testmodel,hosp,2021-09-24,DE,80+,COVID-19,459,277,331,385,451,525,598,686
testteam-testmodel,hosp,2021-09-25,DE,00+,COVID-19,2490,1517,1806,2094,2449,2841,3228,3699
testteam-testmodel,hosp,2021-09-25,DE,00-04,COVID-19,75,42,52,61,73,86,99,115
testteam-testmodel,hosp,2021-09-25,DE,05-14,COVID-19,56,31,38,46,55,66,76,88
testteam-testmodel,hosp,2021-09-25,DE,15-34,COVID-19,403,242,290,337,396,461,525,603
testteam-testmodel,hosp,2021-09-25,DE,35-59,COVID-19,837,507,605,702,822,955,1086,1246
testteam-testmodel,hosp,2021-09-25,DE,60-79,COVID-19,636,385,459,534,626,727,827,949
testteam-testmodel,hosp,2021-09-25,DE,80+,COVID-19,447,269,322,374,439,511,582,668
testteam-testmodel,hosp,2021-09-26,DE,00+,COVID-19,2456,1496,1781,2065,2415,2802,3184,3648
