forecast_date,target,target_end_date,location,age_group,type,quantile,value,pathogen
2023-08-10,-28 day ahead inc hosp,2023-07-13,DE,00-04,quantile,0.025,15,COVID-19
2023-08-10,-28 day ahead inc hosp,2023-07-13,DE,00-04,quantile,0.1,15,COVID-19
2023-08-10,-28 day ahead inc hosp,2023-07-13,DE,00-04,quantile,0.25,15,COVID-19
2023-08-10,-28 day ahead inc hosp,2023-07-13,DE,00-04,quantile,0.5,15,COVID-19
2023-08-10,-28 day ahead inc hosp,2023-07-13,DE,00-04,quantile,0.75,16,COVID-19
2023-08-10,-28 day ahead inc hosp,2023-07-13,DE,00-04,quantile,0.9,16,COVID-19
2023-08-10,-28 day ahead inc hosp,2023-07-13,DE,00-04,quantile,0.975,17,COVID-19
2023-08-10,-28 day ahead inc hosp,2023-07-13,DE,00+,quantile,0.025,304,COVID-19
2023-08-10,-28 day ahead inc hosp,2023-07-13,DE,00+,quantile,0.1,304,COVID-19
2023-08-10,-28 day ahead inc hosp,2023-07-13,DE,00+,quantile,0.25,305,COVID-19
2023-08-10,-28 day ahead inc hosp,2023-07-13,DE,00+,quantile,0.5,306,COVID-19
2023-08-10,-28 day ahead inc hosp,2023-07-13,DE,00+,quantile,0.75,307,COVID-19
2023-08-10,-28 day ahead inc hosp,2023-07-13,DE,00+,quantile,0.9,308,COVID-19
2023-08-10,-28 day ahead inc hosp,2023-07-13,DE,00+,quantile,0.975,310,COVID-19
2023-08-10,-28 day ahead inc hosp,2023-07-13,DE,05-14,quantile,0.025,3,COVID-19
2023-08-10,-28 day ahead inc hosp,2023-07-13,DE,05-14,quantile,0.1,3,COVID-19
2023-08-10,-28 day ahead inc hosp,2023-07-13,DE,05-14,quantile,0.25,3,COVID-19
2023-08-10,-28 day ahead inc hosp,2023-07-13,DE,05-14,quantile,0.5,3,COVID-19
2023-08-10,-28 day ahead inc hosp,2023-07-13,DE,05-14,quantile,0.75,3,COVID-19
2023-08-10,-28 day ahead inc hosp,2023-07-13,DE,05-14,quantile,0.9,3,COVID-19
2023-08-10,-28 day ahead inc hosp,2023-07-13,DE,05-14,quantile,0.975,3,COVID-19
2023-08-10,-28 day ahead inc hosp,2023-07-13,DE,15-34,quantile,0.025,20,COVID-19
2023-08-10,-28 day ahead inc hosp,2023-07-13,DE,15-34,quantile,0.1,20,COVID-19
2023-08-10,-28 day ahead inc hosp,2023-07-13,DE,15-34,quantile,0.25,20,COVID-19
2023-08-10,-28 day ahead inc hosp,2023-07-13,DE,15-34,quantile,0.5,21,COVID-19
2023-08-10,-28 day ahead inc hosp,2023-07-13,DE,15-34,quantile,0.75,23,COVID-19
2023-08-10,-28 day ahead inc hosp,2023-07-13,DE,15-34,quantile,0.9,30,COVID-19
2023-08-10,-28 day ahead inc hosp,2023-07-13,DE,15-34,quantile,0.975,56,COVID-19
2023-08-10,-28 day ahead inc hosp,2023-07-13,DE,35-59,quantile,0.025,41,COVID-19
2023-08-10,-28 day ahead inc hosp,2023-07-13,DE,35-59,quantile,0.1,41,COVID-19
2023-08-10,-28 day ahead inc hosp,2023-07-13,DE,35-59,quantile,0.25,41,COVID-19
2023-08-10,-28 day ahead inc hosp,2023-07-13,DE,35-59,quantile,0.5,41,COVID-19
2023-08-10,-28 day ahead inc hosp,2023-07-13,DE,35-59,quantile,0.75,41,COVID-19
2023-08-10,-28 day ahead inc hosp,2023-07-13,DE,35-59,quantile,0.9,41,COVID-19
2023-08-10,-28 day ahead inc hosp,2023-07-13,DE,35-59,quantile,0.975,41,COVID-19
2023-08-10,-28 day ahead inc hosp,2023-07-13,DE,60-79,quantile,0.025,101,COVID-19
2023-08-10,-28 day ahead inc hosp,2023-07-13,DE,60-79,quantile,0.1,102,COVID-19
2023-08-10,-28 day ahead inc hosp,2023-07-13,DE,60-79,quantile,0.25,102,COVID-19
2023-08-10,-28 day ahead inc hosp,2023-07-13,DE,60-79,quantile,0.5,102,COVID-19
2023-08-10,-28 day ahead inc hosp,2023-07-13,DE,60-79,quantile,0.75,103,COVID-19
2023-08-10,-28 day ahead inc hosp,2023-07-13,DE,60-79,quantile,0.9,105,COVID-19
2023-08-10,-28 day ahead inc hosp,2023-07-13,DE,60-79,quantile,0.975,108,COVID-19
2023-08-10,-28 day ahead inc hosp,2023-07-13,DE,80+,quantile,0.025,123,COVID-19
2023-08-10,-28 day ahead inc hosp,2023-07-13,DE,80+,quantile,0.1,123,COVID-19
2023-08-10,-28 day ahead inc hosp,2023-07-13,DE,80+,quantile,0.25,123,COVID-19
2023-08-10,-28 day ahead inc hosp,2023-07-13,DE,80+,quantile,0.5,123,COVID-19
2023-08-10,-28 day ahead inc hosp,2023-07-13,DE,80+,quantile,0.75,124,COVID-19
2023-08-10,-28 day ahead inc hosp,2023-07-13,DE,80+,quantile,0.9,124,COVID-19
2023-08-10,-28 day ahead inc hosp,2023-07-13,DE,80+,quantile,0.975,125,COVID-19
2023-08-10,-27 day ahead inc hosp,2023-07-14,DE,00-04,quantile,0.025,17,COVID-19
2023-08-10,-27 day ahead inc hosp,2023-07-14,DE,00-04,quantile,0.1,17,COVID-19
2023-08-10,-27 day ahead inc hosp,2023-07-14,DE,00-04,quantile,0.25,17,COVID-19
2023-08-10,-27 day ahead inc hosp,2023-07-14,DE,00-04,quantile,0.5,17,COVID-19
2023-08-10,-27 day ahead inc hosp,2023-07-14,DE,00-04,quantile,0.75,18,COVID-19
2023-08-10,-27 day ahead inc hosp,2023-07-14,DE,00-04,quantile,0.9,18,COVID-19
2023-08-10,-27 day ahead inc hosp,2023-07-14,DE,00-04,quantile,0.975,19,COVID-19
2023-08-10,-27 day ahead inc hosp,2023-07-14,DE,00+,quantile,0.025,317,COVID-19
2023-08-10,-27 day ahead inc hosp,2023-07-14,DE,00+,quantile,0.1,317,COVID-19
2023-08-10,-27 day ahead inc hosp,2023-07-14,DE,00+,quantile,0.25,318,COVID-19
2023-08-10,-27 day ahead inc hosp,2023-07-14,DE,00+,quantile,0.5,319,COVID-19
2023-08-10,-27 day ahead inc hosp,2023-07-14,DE,00+,quantile,0.75,320,COVID-19
2023-08-10,-27 day ahead inc hosp,2023-07-14,DE,00+,quantile,0.9,321,COVID-19
2023-08-10,-27 day ahead inc hosp,2023-07-14,DE,00+,quantile,0.975,323,COVID-19
2023-08-10,-27 day ahead inc hosp,2023-07-14,DE,05-14,quantile,0.025,2,COVID-19
2023-08-10,-27 day ahead inc hosp,2023-07-14,DE,05-14,quantile,0.1,2,COVID-19
2023-08-10,-27 day ahead inc hosp,2023-07-14,DE,05-14,quantile,0.25,2,COVID-19
2023-08-10,-27 day ahead inc hosp,2023-07-14,DE,05-14,quantile,0.5,2,COVID-19
2023-08-10,-27 day ahead inc hosp,2023-07-14,DE,05-14,quantile,0.75,2,COVID-19
2023-08-10,-27 day ahead inc hosp,2023-07-14,DE,05-14,quantile,0.9,2,COVID-19
2023-08-10,-27 day ahead inc hosp,2023-07-14,DE,05-14,quantile,0.975,2,COVID-19
2023-08-10,-27 day ahead inc hosp,2023-07-14,DE,15-34,quantile,0.025,23,COVID-19
2023-08-10,-27 day ahead inc hosp,2023-07-14,DE,15-34,quantile,0.1,23,COVID-19
2023-08-10,-27 day ahead inc hosp,2023-07-14,DE,15-34,quantile,0.25,23,COVID-19
2023-08-10,-27 day ahead inc hosp,2023-07-14,DE,15-34,quantile,0.5,24,COVID-19
2023-08-10,-27 day ahead inc hosp,2023-07-14,DE,15-34,quantile,0.75,27,COVID-19
2023-08-10,-27 day ahead inc hosp,2023-07-14,DE,15-34,quantile,0.9,35,COVID-19
2023-08-10,-27 day ahead inc hosp,2023-07-14,DE,15-34,quantile,0.975,64,COVID-19
2023-08-10,-27 day ahead inc hosp,2023-07-14,DE,35-59,quantile,0.025,43,COVID-19
2023-08-10,-27 day ahead inc hosp,2023-07-14,DE,35-59,quantile,0.1,43,COVID-19
2023-08-10,-27 day ahead inc hosp,2023-07-14,DE,35-59,quantile,0.25,43,COVID-19
